INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	INT	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
1000302	352	55	0	1	0		267	116	天下英雄谁敌手—萧无偿	#{MIS_TAR_ADD_360}	#{Mis_Hero_shaguai}	#{RW_20080321_217}	#{RW_20080321_218}	1	王安石	0	1	王安石	0	75	351	-1	-1	1	萧无偿	0	1													5000	30000	-1																																		1000303
1000303	353	55	0	1	0		267	116	天下英雄谁敌手—黑棋子	#{MIS_TAR_ADD_362}	#{Mis_Hero_shaguai}	#{RW_20080321_217}	#{RW_20080321_218}	1	王安石	0	1	王安石	0	75	352	-1	-1	1	黑棋子	0	10													5000	30000	-1																																		1000304
1000304	354	55	0	1	0		267	116	天下英雄谁敌手—喽啰	#{MIS_TAR_ADD_364}	#{Mis_Hero_shaguai}	#{RW_20080321_217}	#{RW_20080321_218}	1	王安石	0	1	王安石	0	75	353	-1	-1	1	喽啰	0	10													5000	30000	-1																																		1000305
1000305	355	55	0	1	0		267	116	天下英雄谁敌手—伪宋军副都统	#{MIS_TAR_ADD_366}	#{Mis_Hero_shaguai}	#{RW_20080321_217}	#{RW_20080321_218}	1	王安石	0	1	王安石	0	75	354	-1	-1	1	伪宋军副都统	0	1													5000	30000	-1																																		1000306
1000306	356	55	0	1	0		267	116	天下英雄谁敌手—峨嵋利爪恶猿	#{MIS_TAR_ADD_368}	#{Mis_Hero_shaguai}	#{RW_20080321_217}	#{RW_20080321_218}	1	王安石	0	1	王安石	0	75	355	-1	-1	1	峨嵋利爪恶猿	0	20													5000	30000	-1																																		1000307
1000307	357	55	0	1	0		267	116	天下英雄谁敌手—泥浆武士	#{MIS_TAR_ADD_370}	#{Mis_Hero_shaguai}	#{RW_20080321_217}	#{RW_20080321_218}	1	王安石	0	1	王安石	0	75	356	-1	-1	1	泥浆武士	0	20													5000	30000	-1																																		1000308
1000308	358	55	0	1	0		267	116	天下英雄谁敌手—云中雁	#{MIS_TAR_ADD_372}	#{Mis_Hero_shaguai}	#{RW_20080321_217}	#{RW_20080321_218}	1	王安石	0	1	王安石	0	75	357	-1	-1	1	云中雁	0	1													5000	30000	-1																																		1000309
1000309	359	55	0	1	0		267	116	天下英雄谁敌手—远古棋魂	#{MIS_TAR_ADD_374}	#{Mis_Hero_shaguai}	#{RW_20080321_217}	#{RW_20080321_218}	1	王安石	0	1	王安石	0	75	358	-1	-1	1	远古棋魂	0	1													5000	30000	-1																																		1000310
1000310	360	55	0	1	0		267	116	天下英雄谁敌手—伪宋军都统	#{MIS_TAR_ADD_376}	#{Mis_Hero_shaguai}	#{RW_20080321_217}	#{RW_20080321_218}	1	王安石	0	1	王安石	0	75	359	-1	-1	1	伪宋军都统	0	1													5000	30000	-1																																		1000311
1000311	361	55	0	1	0		267	116	天下英雄谁敌手—蓝旗探马	#{MIS_TAR_ADD_378}	#{Mis_Hero_shaguai}	#{RW_20080321_217}	#{RW_20080321_218}	1	王安石	0	1	王安石	0	75	360	-1	-1	1	蓝旗探马	0	20													5000	30000	-1																																		1000312
1000312	362	55	0	1	0		267	116	天下英雄谁敌手—莽盖探子	#{MIS_TAR_ADD_380}	#{Mis_Hero_shaguai}	#{RW_20080321_217}	#{RW_20080321_218}	1	王安石	0	1	王安石	0	75	361	-1	-1	1	莽盖探子	0	1													5000	30000	-1																																		1000313
1000313	363	55	0	1	0		267	116	天下英雄谁敌手—白棋子	#{MIS_TAR_ADD_382}	#{Mis_Hero_shaguai}	#{RW_20080321_217}	#{RW_20080321_218}	1	王安石	0	1	王安石	0	75	362	-1	-1	1	白棋子	0	10													5000	30000	-1																																		1000314
1000314	364	55	0	1	0		267	116	天下英雄谁敌手—恶霸	#{MIS_TAR_ADD_384}	#{Mis_Hero_shaguai}	#{RW_20080321_217}	#{RW_20080321_218}	1	王安石	0	1	王安石	0	75	363	-1	-1	1	恶霸	0	10													5000	30000	-1																																		1000315
1000315	365	55	0	1	0		267	116	天下英雄谁敌手—余毒	#{MIS_TAR_ADD_386}	#{Mis_Hero_shaguai}	#{RW_20080321_217}	#{RW_20080321_218}	1	王安石	0	1	王安石	0	75	364	-1	-1	1	余毒	0	1													5000	30000	-1																																		1000316
1000316	366	55	0	1	0		267	116	天下英雄谁敌手—木人精英	#{MIS_TAR_ADD_388}	#{Mis_Hero_shaguai}	#{RW_20080321_217}	#{RW_20080321_218}	1	王安石	0	1	王安石	0	75	365	-1	-1	1	木人精英	0	20													5000	30000	-1																																		1000317
1000317	367	55	0	1	0		267	116	天下英雄谁敌手—田允	#{MIS_TAR_ADD_390}	#{Mis_Hero_shaguai}	#{RW_20080321_217}	#{RW_20080321_218}	1	王安石	0	1	王安石	0	75	366	-1	-1	1	田允	0	1													5000	30000	-1																																		1000318
1000318	368	55	0	1	0		267	116	天下英雄谁敌手—白棋魂	#{MIS_TAR_ADD_392}	#{Mis_Hero_shaguai}	#{RW_20080321_217}	#{RW_20080321_218}	1	王安石	0	1	王安石	0	75	367	-1	-1	1	白棋魂	0	10													5000	30000	-1																																		1000319
1000319	369	55	0	1	0		267	116	天下英雄谁敌手—红熊王	#{MIS_TAR_ADD_394}	#{Mis_Hero_shaguai}	#{RW_20080321_217}	#{RW_20080321_218}	1	王安石	0	1	王安石	0	75	368	-1	-1	1	红熊王	0	1													5000	30000	-1																																		1000320
1000320	370	55	0	1	0		267	116	天下英雄谁敌手—绿林大盗	#{MIS_TAR_ADD_396}	#{Mis_Hero_shaguai}	#{RW_20080321_217}	#{RW_20080321_218}	1	王安石	0	1	王安石	0	75	369	-1	-1	1	绿林大盗	0	10													5000	30000	-1																																		1000321
1000321	371	55	0	1	0		267	116	天下英雄谁敌手—火王蜘蛛	#{MIS_TAR_ADD_398}	#{Mis_Hero_shaguai}	#{RW_20080321_217}	#{RW_20080321_218}	1	王安石	0	1	王安石	0	75	370	-1	-1	1	火王蜘蛛	0	20													5000	30000	-1																																		1000322
1000322	372	55	0	1	0		267	116	天下英雄谁敌手—死亡的嫔妃	#{MIS_TAR_ADD_400}	#{Mis_Hero_shaguai}	#{RW_20080321_217}	#{RW_20080321_218}	1	王安石	0	1	王安石	0	75	371	-1	-1	1	死亡的嫔妃	0	20													5000	30000	-1																																		1000323
1000323	373	55	0	1	0		267	116	天下英雄谁敌手—百花杀	#{MIS_TAR_ADD_402}	#{Mis_Hero_shaguai}	#{RW_20080321_217}	#{RW_20080321_218}	1	王安石	0	1	王安石	0	75	372	-1	-1	1	百花杀	0	1													5000	30000	-1																																		1000324
1000324	374	55	0	1	0		267	116	天下英雄谁敌手—黑棋魂	#{MIS_TAR_ADD_404}	#{Mis_Hero_shaguai}	#{RW_20080321_217}	#{RW_20080321_218}	1	王安石	0	1	王安石	0	75	373	-1	-1	1	黑棋魂	0	10													5000	30000	-1																																		1000325
1000325	375	55	0	1	0		267	116	天下英雄谁敌手—野熊	#{MIS_TAR_ADD_406}	#{Mis_Hero_shaguai}	#{RW_20080321_217}	#{RW_20080321_218}	1	王安石	0	1	王安石	0	75	374	-1	-1	1	野熊	0	10													5000	30000	-1																																		1000326
1000326	376	55	0	1	0		267	116	天下英雄谁敌手—无方和尚	#{MIS_TAR_ADD_408}	#{Mis_Hero_shaguai}	#{RW_20080321_217}	#{RW_20080321_218}	1	王安石	0	1	王安石	0	75	375	-1	-1	1	无方和尚	0	1													5000	30000	-1																																		1000327
1000327	377	55	0	1	0		267	116	天下英雄谁敌手—绿林劫匪	#{MIS_TAR_ADD_410}	#{Mis_Hero_shaguai}	#{RW_20080321_217}	#{RW_20080321_218}	1	王安石	0	1	王安石	0	75	376	-1	-1	1	绿林劫匪	0	10													5000	30000	-1																																		1000328
1000328	378	55	0	1	0		267	116	天下英雄谁敌手—天山雪怪王	#{MIS_TAR_ADD_412}	#{Mis_Hero_shaguai}	#{RW_20080321_217}	#{RW_20080321_218}	1	王安石	0	1	王安石	0	75	377	-1	-1	1	天山雪怪王	0	20													5000	30000	-1																																		1000329
1000329	379	55	0	1	0		267	116	天下英雄谁敌手—护岛神兽	#{MIS_TAR_ADD_414}	#{Mis_Hero_shaguai}	#{RW_20080321_217}	#{RW_20080321_218}	1	王安石	0	1	王安石	0	75	378	-1	-1	1	护岛神兽	0	1													5000	30000	-1																																		1000330
1000330	380	55	0	1	0		267	116	天下英雄谁敌手—格裂马	#{MIS_TAR_ADD_416}	#{Mis_Hero_shaguai}	#{RW_20080321_217}	#{RW_20080321_218}	1	王安石	0	1	王安石	0	75	379	-1	-1	1	格裂马	0	1													5000	30000	-1																																		1000331
1000331	381	55	0	1	0		267	116	天下英雄谁敌手—贼兵喽啰	#{MIS_TAR_ADD_418}	#{Mis_Hero_shaguai}	#{RW_20080321_217}	#{RW_20080321_218}	1	王安石	0	1	王安石	0	75	380	-1	-1	1	贼兵喽啰	0	10													5000	30000	-1																																		1000332
1000332	382	55	0	1	0		267	116	天下英雄谁敌手—狗头军师	#{MIS_TAR_ADD_420}	#{Mis_Hero_shaguai}	#{RW_20080321_217}	#{RW_20080321_218}	1	王安石	0	1	王安石	0	75	381	-1	-1	1	狗头军师	0	10													5000	30000	-1																																		1000333
1000333	383	55	0	1	0		267	116	天下英雄谁敌手—呼延平	#{MIS_TAR_ADD_422}	#{Mis_Hero_shaguai}	#{RW_20080321_217}	#{RW_20080321_218}	1	王安石	0	1	王安石	0	75	382	-1	-1	1	呼延平	0	1													5000	30000	-1																																		1000334
1000334	384	55	0	1	0		267	116	天下英雄谁敌手—破嗔心魔	#{MIS_TAR_ADD_424}	#{Mis_Hero_shaguai}	#{RW_20080321_217}	#{RW_20080321_218}	1	王安石	0	1	王安石	0	75	383	-1	-1	1	破嗔心魔	0	20													5000	30000	-1																																		1000335
1000335	385	55	0	1	0		267	116	天下英雄谁敌手—幽灵	#{MIS_TAR_ADD_426}	#{Mis_Hero_shaguai}	#{RW_20080321_217}	#{RW_20080321_218}	1	王安石	0	1	王安石	0	75	384	-1	-1	1	幽灵	0	20													5000	30000	-1																																		1000336
1000336	386	55	0	1	0		267	116	天下英雄谁敌手—姚牵	#{MIS_TAR_ADD_428}	#{Mis_Hero_shaguai}	#{RW_20080321_217}	#{RW_20080321_218}	1	王安石	0	1	王安石	0	75	385	-1	-1	1	姚牵	0	1													5000	30000	-1																																		1000337
1000337	387	55	0	1	0		267	116	天下英雄谁敌手—一品堂刺客	#{MIS_TAR_ADD_430}	#{Mis_Hero_shaguai}	#{RW_20080321_217}	#{RW_20080321_218}	1	王安石	0	1	王安石	0	75	386	-1	-1	1	一品堂刺客	0	20													5000	30000	-1																																		1000338
1000338	388	55	0	1	0		267	116	天下英雄谁敌手—许道人	#{MIS_TAR_ADD_432}	#{Mis_Hero_shaguai}	#{RW_20080321_217}	#{RW_20080321_218}	1	王安石	0	1	王安石	0	75	387	-1	-1	1	许道人	0	1													5000	30000	-1																																		1000339
1000339	389	55	0	1	0		267	116	天下英雄谁敌手—山寨大王	#{MIS_TAR_ADD_434}	#{Mis_Hero_shaguai}	#{RW_20080321_217}	#{RW_20080321_218}	1	王安石	0	1	王安石	0	75	388	-1	-1	1	山寨大王	0	1													5000	30000	-1																																		
#30-60任务																																																																												
1000350	927	29	0	1	0		129	50	诚意的证明	#{MIS_TAR_ADD_438}	#{Mis_30_60_desc_002}	#{RW_20080321_219}	#{RW_20080321_227}	18	耶律莫哥	0	18	耶律莫哥	0	33	926	-1	-1	1	深水怪兽	0	1													8000	8000	-1																																		1010391
1000351	930	42	0	1	0		152	122	行侠仗义	#{MIS_TAR_ADD_440}	#{Mis_30_60_desc_005}	#{RW_20080321_220}	#{RW_20080321_228}	31	翁季之	0	31	翁季之	0	37	929	-1	-1	1	归风庄剑师	0	12													6000	9500	-1																																		
1000352	931	42	0	1	0		208	62	云消雾散	#{MIS_TAR_ADD_442}	#{Mis_30_60_desc_006}	#{RW_20080321_221}	#{Mis_30_60_desc_021}	31	法念	0	31	法念	0	39	930	-1	-1	1	归风剑魄	0	1													8000	9500	-1																		10523073	1	10523043	1													
1000353	934	35	0	1	0		76	91	长毛雪怪	#{MIS_TAR_ADD_444}	#{Mis_30_60_desc_009}	#{RW_20080321_222}	#{RW_20080321_229}	25	萨雪	0	25	萨雪	0	44	933	-1	-1	1	长毛雪怪	0	1													9500	12000	-1																		10512083	1	10512003	1													
1000354	936	30	0	1	0		234	192	打草谷辽兵	#{MIS_TAR_ADD_446}	#{Mis_30_60_desc_011}	#{RW_20080321_223}	#{RW_20080321_230}	19	曲端	0	19	曲端	0	47	935	-1	-1	1	打草谷辽兵	0	20													10000	12000	-1																																		
1000355	937	30	0	1	0		232	203	恶梦缠身	#{MIS_TAR_ADD_448}	#{Mis_30_60_desc_012}	#{RW_20080321_224}	#{RW_20080321_231}	19	苗庆	0	19	苗庆	0	49	936	-1	-1	1	八爪怪兽	0	1													10000	14000	-1																		10515034	1	10515014	1													
1000356	939	43	0	1	0		195	53	山越游魂	#{MIS_TAR_ADD_450}	#{Mis_30_60_desc_014}	#{RW_20080321_225}	#{RW_20080321_232}	32	曲阳	0	32	曲阳	0	54	938	-1	-1	1	山越游魂	0	1													12000	16000	-1																		10511074	1	10511064	1													
1000357	941	37	0	1	0		45	44	石狮首领的复仇	#{MIS_TAR_ADD_452}	#{Mis_30_60_desc_016}	#{RW_20080321_226}	#{RW_20080321_233}	26	秦红棉	0	26	秦红棉	0	57	940	606	-1	1	花岗狮王	0	1													16000	15000	-1																																		1010393
#虚竹任务																																																																												
1009000	101	10	0	1	0	1	54	265	虚竹任务	#{RW_20080321_234}	#{RW_20080321_262}	#{RW_20080321_290}	#{RW_20080321_318}			0	2	叶二娘	0	60	-1	-1	-1	1	闪电马匪	0	20															102	1	你和虚竹的关系上升了1点。	2	你和虚竹的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											
1009001	101	10	0	1	0	1	54	265	虚竹任务	#{RW_20080321_235}	#{RW_20080321_263}	#{RW_20080321_291}	#{RW_20080321_318}			0	2	叶二娘	0	70	-1	-1	-1	1	偃师护法	0	20															102	1	你和虚竹的关系上升了1点。	2	你和虚竹的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											
1009002	101	10	0	1	0	1	54	265	虚竹任务	#{RW_20080321_236}	#{RW_20080321_264}	#{RW_20080321_292}	#{RW_20080321_318}			0	2	叶二娘	0	80	-1	-1	-1	1	藤甲勇士	0	30															102	1	你和虚竹的关系上升了1点。	2	你和虚竹的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											
1009003	101	10	0	1	0	1	54	265	虚竹任务	#{RW_20080321_237}	#{RW_20080321_265}	#{RW_20080321_293}	#{RW_20080321_318}			0	2	叶二娘	0	90	-1	-1	-1	1	南海盗神	0	30															102	1	你和虚竹的关系上升了1点。	2	你和虚竹的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											
1009004	101	10	0	1	0	1	54	265	虚竹任务	#{RW_20080321_238}	#{RW_20080321_266}	#{RW_20080321_294}	#{RW_20080321_319}			0	2	叶二娘	0	60	-1	-1	-1	1	闪电马匪	0	20															102	1	你和虚竹的关系上升了1点。	2	你和虚竹的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											
1009005	101	10	0	1	0	1	54	265	虚竹任务	#{RW_20080321_239}	#{RW_20080321_267}	#{RW_20080321_295}	#{RW_20080321_319}			0	2	叶二娘	0	70	-1	-1	-1	1	偃师护法	0	20															102	1	你和虚竹的关系上升了1点。	2	你和虚竹的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											
1009006	101	10	0	1	0	1	54	265	虚竹任务	#{RW_20080321_240}	#{RW_20080321_268}	#{RW_20080321_296}	#{RW_20080321_319}			0	2	叶二娘	0	80	-1	-1	-1	1	藤甲勇士	0	30															102	1	你和虚竹的关系上升了1点。	2	你和虚竹的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											
1009007	101	10	0	1	0	1	54	265	虚竹任务	#{RW_20080321_241}	#{RW_20080321_269}	#{RW_20080321_297}	#{RW_20080321_319}			0	2	叶二娘	0	90	-1	-1	-1	1	南海盗神	0	30															102	1	你和虚竹的关系上升了1点。	2	你和虚竹的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											
1009008	101	10	0	1	0	1	54	265	虚竹任务	#{RW_20080321_242}	#{RW_20080321_270}	#{RW_20080321_298}	#{RW_20080321_319}			0	2	叶二娘	0	60	-1	-1	-1	1	闪电马匪	0	20															102	1	你和虚竹的关系上升了1点。	2	你和虚竹的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											
1009009	101	10	0	1	0	1	54	265	虚竹任务	#{RW_20080321_243}	#{RW_20080321_271}	#{RW_20080321_299}	#{RW_20080321_319}			0	2	叶二娘	0	70	-1	-1	-1	1	偃师护法	0	20															102	1	你和虚竹的关系上升了1点。	2	你和虚竹的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											
1009010	101	10	0	1	0	1	54	265	虚竹任务	#{RW_20080321_244}	#{RW_20080321_272}	#{RW_20080321_300}	#{RW_20080321_319}			0	2	叶二娘	0	80	-1	-1	-1	1	藤甲勇士	0	30															102	1	你和虚竹的关系上升了1点。	2	你和虚竹的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											
1009011	101	10	0	1	0	1	54	265	虚竹任务	#{RW_20080321_245}	#{RW_20080321_273}	#{RW_20080321_301}	#{RW_20080321_319}			0	2	叶二娘	0	90	-1	-1	-1	1	南海盗神	0	30															102	1	你和虚竹的关系上升了1点。	2	你和虚竹的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											
1009012	101	10	0	1	0	1	54	265	虚竹任务	#{RW_20080321_246}	#{RW_20080321_274}	#{RW_20080321_302}	#{RW_20080321_319}			0	2	叶二娘	0	60	-1	-1	-1	1	闪电马匪	0	20															102	1	你和虚竹的关系上升了1点。	2	你和虚竹的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											
1009013	101	10	0	1	0	1	54	265	虚竹任务	#{RW_20080321_247}	#{RW_20080321_275}	#{RW_20080321_303}	#{RW_20080321_319}			0	2	叶二娘	0	70	-1	-1	-1	1	偃师护法	0	20															102	1	你和虚竹的关系上升了1点。	2	你和虚竹的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											
1009014	101	10	0	1	0	1	54	265	虚竹任务	#{RW_20080321_248}	#{RW_20080321_276}	#{RW_20080321_304}	#{RW_20080321_319}			0	2	叶二娘	0	80	-1	-1	-1	1	藤甲勇士	0	30															102	1	你和虚竹的关系上升了1点。	2	你和虚竹的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											
1009015	101	10	0	1	0	1	54	265	虚竹任务	#{RW_20080321_249}	#{RW_20080321_277}	#{RW_20080321_305}	#{RW_20080321_319}			0	2	叶二娘	0	90	-1	-1	-1	1	南海盗神	0	30															102	1	你和虚竹的关系上升了1点。	2	你和虚竹的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											
1009016	101	10	0	1	0	1	54	265	虚竹任务	#{RW_20080321_250}	#{RW_20080321_278}	#{RW_20080321_306}	#{RW_20080321_319}			0	2	叶二娘	0	60	-1	-1	-1	1	闪电马匪	0	20															102	1	你和虚竹的关系上升了1点。	2	你和虚竹的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											
1009017	101	10	0	1	0	1	54	265	虚竹任务	#{RW_20080321_251}	#{RW_20080321_279}	#{RW_20080321_307}	#{RW_20080321_319}			0	2	叶二娘	0	70	-1	-1	-1	1	偃师护法	0	20															102	1	你和虚竹的关系上升了1点。	2	你和虚竹的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											
1009018	101	10	0	1	0	1	54	265	虚竹任务	#{RW_20080321_252}	#{RW_20080321_280}	#{RW_20080321_308}	#{RW_20080321_319}			0	2	叶二娘	0	80	-1	-1	-1	1	藤甲勇士	0	30															102	1	你和虚竹的关系上升了1点。	2	你和虚竹的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											
1009019	101	10	0	1	0	1	54	265	虚竹任务	#{RW_20080321_253}	#{RW_20080321_281}	#{RW_20080321_309}	#{RW_20080321_319}			0	2	叶二娘	0	90	-1	-1	-1	1	南海盗神	0	30															102	1	你和虚竹的关系上升了1点。	2	你和虚竹的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											
1009020	101	10	0	1	0	1	54	265	虚竹任务	#{RW_20080321_254}	#{RW_20080321_282}	#{RW_20080321_310}	#{RW_20080321_319}			0	2	叶二娘	0	60	-1	-1	-1	1	闪电马匪	0	20															102	1	你和虚竹的关系上升了1点。	2	你和虚竹的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											
1009021	101	10	0	1	0	1	54	265	虚竹任务	#{RW_20080321_255}	#{RW_20080321_283}	#{RW_20080321_311}	#{RW_20080321_319}			0	2	叶二娘	0	70	-1	-1	-1	1	偃师护法	0	20															102	1	你和虚竹的关系上升了1点。	2	你和虚竹的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											
1009022	101	10	0	1	0	1	54	265	虚竹任务	#{RW_20080321_256}	#{RW_20080321_284}	#{RW_20080321_312}	#{RW_20080321_319}			0	2	叶二娘	0	80	-1	-1	-1	1	藤甲勇士	0	30															102	1	你和虚竹的关系上升了1点。	2	你和虚竹的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											
1009023	101	10	0	1	0	1	54	265	虚竹任务	#{RW_20080321_257}	#{RW_20080321_285}	#{RW_20080321_313}	#{RW_20080321_319}			0	2	叶二娘	0	90	-1	-1	-1	1	南海盗神	0	30															102	1	你和虚竹的关系上升了1点。	2	你和虚竹的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											
1009024	101	10	0	1	0	1	54	265	虚竹任务	#{RW_20080321_258}	#{RW_20080321_286}	#{RW_20080321_314}	#{RW_20080321_319}			0	2	叶二娘	0	60	-1	-1	-1	1	闪电马匪	0	20															102	1	你和虚竹的关系上升了1点。	2	你和虚竹的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											
1009025	101	10	0	1	0	1	54	265	虚竹任务	#{RW_20080321_259}	#{RW_20080321_287}	#{RW_20080321_315}	#{RW_20080321_319}			0	2	叶二娘	0	70	-1	-1	-1	1	偃师护法	0	20															102	1	你和虚竹的关系上升了1点。	2	你和虚竹的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											
1009026	101	10	0	1	0	1	54	265	虚竹任务	#{RW_20080321_260}	#{RW_20080321_288}	#{RW_20080321_316}	#{RW_20080321_319}			0	2	叶二娘	0	80	-1	-1	-1	1	藤甲勇士	0	30															102	1	你和虚竹的关系上升了1点。	2	你和虚竹的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											
1009027	101	10	0	1	0	1	54	265	虚竹任务	#{RW_20080321_261}	#{RW_20080321_289}	#{RW_20080321_317}	#{RW_20080321_319}			0	2	叶二娘	0	90	-1	-1	-1	1	南海盗神	0	30															102	1	你和虚竹的关系上升了1点。	2	你和虚竹的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											
#鸠摩智任务																																																																												
1009100	101	10	0	1	0	1	62	98	鸠摩智任务	#{RW_20080321_320}	#{RW_20080321_324}	#{RW_20080321_328}	#{RW_20080321_332}			0	8	鸠摩智	0	60	-1	-1	-1	1	丛林野人	0	25															103	1	你和鸠摩智的关系上升了1点。	2	你和鸠摩智的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											
1009101	101	10	0	1	0	1	62	98	鸠摩智任务	#{RW_20080321_321}	#{RW_20080321_325}	#{RW_20080321_329}	#{RW_20080321_332}			0	8	鸠摩智	0	70	-1	-1	-1	1	黑衣马匪	0	25															103	1	你和鸠摩智的关系上升了1点。	2	你和鸠摩智的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											
1009102	101	10	0	1	0	1	62	98	鸠摩智任务	#{RW_20080321_322}	#{RW_20080321_326}	#{RW_20080321_330}	#{RW_20080321_332}			0	8	鸠摩智	0	80	-1	-1	-1	1	藤甲贼	0	30															103	1	你和鸠摩智的关系上升了1点。	2	你和鸠摩智的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											
1009103	101	10	0	1	0	1	62	98	鸠摩智任务	#{RW_20080321_323}	#{RW_20080321_327}	#{RW_20080321_331}	#{RW_20080321_332}			0	8	鸠摩智	0	90	-1	-1	-1	1	永夜修罗	0	30															103	1	你和鸠摩智的关系上升了1点。	2	你和鸠摩智的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											
#盐湖																																																																												
1009110	726	56	0	1	0	0	48	34	月夜惊梦	#{YYJM_20080228_09}	#{YYJM_20080228_10}	#{YYJM_20080228_11}	#{YYJM_20080228_12}	415	杨元	0	415	杨元	0	80	-1	-1	-1	1	盐湖熊	0	30													55000	40000	-1																																		
1009111	727	56	0	1	0	0	48	34	忍无可忍	#{RWKR_20080228_13}	#{RWKR_20080228_14}	#{RWKR_20080228_15}	#{RWKR_20080228_16}	415	杨元	0	415	杨元	0	83	734	-1	-1	1	偃师监工	0	30													58000	44000	-1																																		
1009112	728	56	0	1	0	0	172	204	突袭偃师	#{TXYS_20080228_17}	#{TXYS_20080228_18}	#{TXYS_20080228_19}	#{TXYS_20080228_20}	415	郑杨	0	415	郑杨	0	87	-1	-1	-1	1	偃师守卫	0	30													56000	45000	-1																																		1009113
1009113	729	56	0	1	0	0	172	204	歃血之约	#{SXZY_20080228_21}	#{SXZY_20080228_22}	#{SXZY_20080228_23}	#{SXZY_20080228_24}	415	郑杨	0	415	郑杨	0	87	728	-1	-1	1	古里赤	0	1													55000	46000	-1																																		
#银皑雪原任务																																																																												
1009200	739	57	0	1	0		53	219	冰天雪地灵企鹅	#{Mis_XYCJ_20080227_08}	#{Mis_XYCJ_20080227_09}	#{Mis_XYCJ_20080227_10}	#{Mis_XYCJ_20080227_11}	188	周游	0	188	周游	0	70	-1	-1	-1	1	成年灵企鹅		10													51000	36000	-1																																		
