INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
21	3	20400012	0	40	0	76	6000	0	20400082	0	40	0	76	7500	0	20400075	0	40	0	76	10500	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	6000	0	0	0	40	0	76	6000	0	0	0	40	0	76	6000	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0
22	3	20400010	0	40	0	76	6000	0	20400082	0	40	0	76	7500	0	20400075	0	40	0	76	10500	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	6000	0	0	0	40	0	76	6000	0	0	0	40	0	76	6000	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0
23	3	20400015	0	40	0	76	6000	0	20400095	0	40	0	76	7500	0	20400096	0	40	0	76	10500	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	6000	0	0	0	40	0	76	6000	0	0	0	40	0	76	6000	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0
24	3	20400011	0	40	0	76	6000	0	20400095	0	40	0	76	7500	0	20400096	0	40	0	76	10500	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	6000	0	0	0	40	0	76	6000	0	0	0	40	0	76	6000	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0
25	3	20400015	0	40	0	76	6000	0	20400095	0	40	0	76	7500	0	20400096	0	40	0	76	10500	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	6000	0	0	0	40	0	76	6000	0	0	0	40	0	76	6000	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0
26	3	20400011	0	40	0	76	6000	0	20400095	0	40	0	76	7500	0	20400096	0	40	0	76	10500	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	6000	0	0	0	40	0	76	6000	0	0	0	40	0	76	6000	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0
27	3	20400015	0	40	0	76	6000	0	20400095	0	40	0	76	7500	0	20400096	0	40	0	76	10500	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	6000	0	0	0	40	0	76	6000	0	0	0	40	0	76	6000	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0
28	3	20400011	0	40	0	76	6000	0	20400095	0	40	0	76	7500	0	20400096	0	40	0	76	10500	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	6000	0	0	0	40	0	76	6000	0	0	0	40	0	76	6000	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0
29	3	20400013	0	40	0	76	6000	0	20400083	0	40	0	76	7500	0	20400084	0	40	0	76	10500	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	6000	0	0	0	40	0	76	6000	0	0	0	40	0	76	6000	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0
30	3	20400014	0	40	0	76	6000	0	20400083	0	40	0	76	7500	0	20400084	0	40	0	76	10500	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	6000	0	0	0	40	0	76	6000	0	0	0	40	0	76	6000	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0
31	3	20400014	0	40	0	76	6000	0	20400083	0	40	0	76	7500	0	20400084	0	40	0	76	10500	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	6000	0	0	0	40	0	76	6000	0	0	0	40	0	76	6000	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0
32	3	20400013	0	40	0	76	6000	0	20400083	0	40	0	76	7500	0	20400084	0	40	0	76	10500	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	6000	0	0	0	40	0	76	6000	0	0	0	40	0	76	6000	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0
33	3	20400014	0	40	0	76	6000	0	20400083	0	40	0	76	7500	0	20400084	0	40	0	76	10500	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	6000	0	0	0	40	0	76	6000	0	0	0	40	0	76	6000	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0
34	3	20400013	0	40	0	76	6000	0	20400083	0	40	0	76	7500	0	20400084	0	40	0	76	10500	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	6000	0	0	0	40	0	76	6000	0	0	0	40	0	76	6000	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0
35	3	20400018	0	40	0	77	8000	0	20400066	0	40	0	77	10000	0	20400067	0	40	0	77	14000	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	8000	0	0	0	40	0	77	8000	0	0	0	40	0	77	8000	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0
36	3	20400020	0	40	0	77	8000	0	20400066	0	40	0	77	10000	0	20400067	0	40	0	77	14000	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	8000	0	0	0	40	0	77	8000	0	0	0	40	0	77	8000	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0
37	3	20400017	0	40	0	77	8000	0	20400080	0	40	0	77	10000	0	20400078	0	40	0	77	14000	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	8000	0	0	0	40	0	77	8000	0	0	0	40	0	77	8000	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0
38	3	20400025	0	40	0	77	8000	0	20400080	0	40	0	77	10000	0	20400078	0	40	0	77	14000	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	8000	0	0	0	40	0	77	8000	0	0	0	40	0	77	8000	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0
39	3	20400021	0	40	0	77	8000	0	20400085	0	40	0	77	10000	0	20400086	0	40	0	77	14000	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	8000	0	0	0	40	0	77	8000	0	0	0	40	0	77	8000	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0
40	3	20400019	0	40	0	77	8000	0	20400085	0	40	0	77	10000	0	20400086	0	40	0	77	14000	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	8000	0	0	0	40	0	77	8000	0	0	0	40	0	77	8000	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0
41	3	20400016	0	40	0	77	8000	0	20400097	0	40	0	77	10000	0	20400098	0	40	0	77	14000	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	8000	0	0	0	40	0	77	8000	0	0	0	40	0	77	8000	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0
42	3	20400020	0	40	0	77	8000	0	20400097	0	40	0	77	10000	0	20400098	0	40	0	77	14000	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	8000	0	0	0	40	0	77	8000	0	0	0	40	0	77	8000	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0
43	3	20400023	0	40	0	77	8000	0	20400103	0	40	0	77	10000	0	20400104	0	40	0	77	14000	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	8000	0	0	0	40	0	77	8000	0	0	0	40	0	77	8000	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0
44	3	20400025	0	40	0	77	8000	0	20400103	0	40	0	77	10000	0	20400104	0	40	0	77	14000	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	8000	0	0	0	40	0	77	8000	0	0	0	40	0	77	8000	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0
45	3	20400017	0	40	0	77	8000	0	20400085	0	40	0	77	10000	0	20400086	0	40	0	77	14000	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	8000	0	0	0	40	0	77	8000	0	0	0	40	0	77	8000	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0
46	3	20400019	0	40	0	77	8000	0	20400085	0	40	0	77	10000	0	20400086	0	40	0	77	14000	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	8000	0	0	0	40	0	77	8000	0	0	0	40	0	77	8000	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0
