INT	INT	STRING	STRING	INT	INT	STRING	STRING	STRING	STRING
#294	0	0127-0000	0127-2359			师门采集年货	门派任务发布人		Huodong_2_13
#295	0	0128-0000	0128-2359			师门采集年货	门派任务发布人		Huodong_2_13
#296	0	0129-0000	0129-2359			师门采集年货	门派任务发布人		Huodong_2_13
#297	0	0130-0000	0130-2359			师门采集年货	门派任务发布人		Huodong_2_13
#298	0	0131-0000	0131-2359			师门采集年货	门派任务发布人		Huodong_2_13
#299	0	0201-0000	0201-2359			师门采集年货	门派任务发布人		Huodong_2_13
#300	0	1225-0000	1225-2359			门派节日贺帖换礼品	各门派任务发布人		Huodong_2_10
#301	0	1226-0000	1226-2359			门派节日贺帖换礼品	各门派任务发布人		Huodong_2_10
#302	0	1227-0000	1227-2359			门派节日贺帖换礼品	各门派任务发布人		Huodong_2_10
#303	0	1228-0000	1228-2359			门派节日贺帖换礼品	各门派任务发布人		Huodong_2_10
#304	0	1229-0000	1229-2359			门派节日贺帖换礼品	各门派任务发布人		Huodong_2_10
#305	0	1230-0000	1230-2359			门派节日贺帖换礼品	各门派任务发布人		Huodong_2_10
#306	0	1231-0000	1231-2359			门派节日贺帖换礼品	各门派任务发布人		Huodong_2_10
#307	0	0101-0000	0101-2359			门派节日贺帖换礼品	各门派任务发布人		Huodong_2_10
#308	0	0102-0000	0102-2359			门派节日贺帖换礼品	各门派任务发布人		Huodong_2_10
#309	0	0103-0000	0103-2359			门派节日贺帖换礼品	各门派任务发布人		Huodong_2_10
#310	0	0104-0000	0104-2359			门派节日贺帖换礼品	各门派任务发布人		Huodong_2_10
#311	0	0105-0000	0105-2359			门派节日贺帖换礼品	各门派任务发布人		Huodong_2_10
#312	0	0106-0000	0106-2359			门派节日贺帖换礼品	各门派任务发布人		Huodong_2_10
#313	0	0107-0000	0107-2359			门派节日贺帖换礼品	各门派任务发布人		Huodong_2_10
#314	0	0209-0000	0209-2359			元宵节灯谜	大理风花雪月、洛阳洛神牡丹、苏州曲院风荷		Huodong_2_11
#315	0	0210-0000	0210-2359			元宵节灯谜	大理风花雪月、洛阳洛神牡丹、苏州曲院风荷		Huodong_2_11
#316	0	0211-0000	0211-2359			元宵节灯谜	大理风花雪月、洛阳洛神牡丹、苏州曲院风荷		Huodong_2_11
#317	0	0212-0000	0212-2359			元宵节灯谜	大理风花雪月、洛阳洛神牡丹、苏州曲院风荷		Huodong_2_11
#318	0	0213-0000	0213-2359			元宵节灯谜	大理风花雪月、洛阳洛神牡丹、苏州曲院风荷		Huodong_2_11
#319	0	0214-0000	0214-2359			元宵节灯谜	大理风花雪月、洛阳洛神牡丹、苏州曲院风荷		Huodong_2_11
#320	0	0215-0000	0215-2359			元宵节灯谜	大理风花雪月、洛阳洛神牡丹、苏州曲院风荷		Huodong_2_11
#321	0	0210-0000	0210-2359			情人节活动	洛阳邱碧特（177，102）		Banner1_7
#322	0	0211-0000	0211-2359			情人节活动	洛阳邱碧特（177，102）		Banner1_7
#323	0	0212-0000	0212-2359			情人节活动	洛阳邱碧特（177，102）		Banner1_7
#324	0	0213-0000	0213-2359			情人节活动	洛阳邱碧特（177，102）		Banner1_7
#325	0	0214-0000	0214-2359			情人节活动	洛阳邱碧特（177，102）		Banner1_7
#326	0	0215-0000	0215-2359			情人节活动	洛阳邱碧特（177，102）		Banner1_7
#327	0	0216-0000	0216-2359			情人节活动	洛阳邱碧特（177，102）		Banner1_7
#328	2	0-1900	0-2000			支援朝廷	帮会城市校场官员佟芙蓉（147，96）		Huodong_2_14
#329	0	0621-1900	0621-2300			横扫牡丹碗	洛阳童贯、大理夏青青、苏州于倩倩		Huodong_6
#330	0	0719-1900	0719-2300			横扫牡丹碗	洛阳童贯、大理夏青青、苏州于倩倩		Huodong_6
#331	0	0816-1900	0816-2300			横扫牡丹碗	洛阳童贯、大理夏青青、苏州于倩倩		Huodong_6
#332	0	0920-1900	0920-2300			横扫牡丹碗	洛阳童贯、大理夏青青、苏州于倩倩		Huodong_6
#333	0	1018-1900	1018-2300			横扫牡丹碗	洛阳童贯、大理夏青青、苏州于倩倩		Huodong_6
#334	0	1115-1900	1115-2300			横扫牡丹碗	洛阳童贯、大理夏青青、苏州于倩倩		Huodong_6
#335	0	1220-1900	1220-2300			横扫牡丹碗	洛阳童贯、大理夏青青、苏州于倩倩		Huodong_6
#336	0	0226-0000	0226-2400			和谐光环	大理孙八爷		Huodong_2_15
337	1	0-0000	0-2359			闪电狗	圣兽山巡逻BOSS		
338	0	0326-0000	0326-2359			愚人大变身活动	大理龚彩云（170，123）		Huodong_14
339	0	0327-0000	0327-2359			愚人大变身活动	大理龚彩云（170，123）		Huodong_14
340	0	0328-0000	0328-2359			愚人大变身活动	大理龚彩云（170，123）		Huodong_14
341	0	0329-0000	0329-2359			愚人大变身活动	大理龚彩云（170，123）		Huodong_14
342	0	0330-0000	0330-2359			愚人大变身活动	大理龚彩云（170，123）		Huodong_14
343	0	0403-0000	0403-2359			愚人大变身活动	大理龚彩云（170，123）		Huodong_14
344	2	0-0000	0-2359			寒玉谷	#G苏州（178，129）#R林朝雄#W		CommonLiveSkill2_5
345	2	1-0000	1-2359			寒玉谷	#G苏州（178，129）#R林朝雄#W		CommonLiveSkill2_5
346	2	2-0000	2-2359			寒玉谷	#G苏州（178，129）#R林朝雄#W		CommonLiveSkill2_5
347	2	3-0000	3-2359			寒玉谷	#G苏州（178，129）#R林朝雄#W		CommonLiveSkill2_5
348	2	4-0000	4-2359			寒玉谷	#G苏州（178，129）#R林朝雄#W		CommonLiveSkill2_5
349	2	5-0000	5-2359			寒玉谷	#G苏州（178，129）#R林朝雄#W		CommonLiveSkill2_5
350	2	6-0000	6-2359			寒玉谷	#G苏州（178，129）#R林朝雄#W		CommonLiveSkill2_5
#351	2	0-0000	0-2359			秦皇战神	#G大理（174，145）#R孙八爷#W		FightSkillGaiBang_4
#352	2	1-0000	1-2359			秦皇战神	#G大理（174，145）#R孙八爷#W		FightSkillGaiBang_4
#353	2	2-0000	2-2359			秦皇战神	#G大理（174，145）#R孙八爷#W		FightSkillGaiBang_4
#354	2	3-0000	3-2359			秦皇战神	#G大理（174，145）#R孙八爷#W		FightSkillGaiBang_4
#355	2	4-0000	4-2359			秦皇战神	#G大理（174，145）#R孙八爷#W		FightSkillGaiBang_4
#356	2	5-0000	5-2359			秦皇战神	#G大理（174，145）#R孙八爷#W		FightSkillGaiBang_4
#357	2	6-0000	6-2359			秦皇战神	#G大理（174，145）#R孙八爷#W		FightSkillGaiBang_4
358	2	0-0000	0-2359			年兽入侵	洛阳镖师贾威信（81，117）		FightSkillGaiBang_2
359	2	1-0000	1-2359			年兽入侵	洛阳镖师贾威信（81，117）		FightSkillGaiBang_2
360	2	2-0000	2-2359			年兽入侵	洛阳镖师贾威信（81，117）		FightSkillGaiBang_2
361	2	3-0000	3-2359			年兽入侵	洛阳镖师贾威信（81，117）		FightSkillGaiBang_2
362	2	4-0000	4-2359			年兽入侵	洛阳镖师贾威信（81，117）		FightSkillGaiBang_2
363	2	5-0000	5-2359			年兽入侵	洛阳镖师贾威信（81，117）		FightSkillGaiBang_2
364	2	6-0000	6-2359			年兽入侵	洛阳镖师贾威信（81，117）		FightSkillGaiBang_2
365	2	0-1830	0-1930			天降奇兽	楼兰随机刷新		PetSkill8_12
366	2	1-1830	1-1930			天降奇兽	楼兰随机刷新		PetSkill8_12
367	2	2-1830	2-1930			天降奇兽	楼兰随机刷新		PetSkill8_12
368	2	3-1830	3-1930			天降奇兽	楼兰随机刷新		PetSkill8_12
369	2	4-1830	4-1930			天降奇兽	楼兰随机刷新		PetSkill8_12
370	2	5-1830	5-1930			天降奇兽	楼兰随机刷新		PetSkill8_12
371	2	6-1830	6-1930			天降奇兽	楼兰随机刷新		PetSkill8_12
372	2	0-0000	0-2359			收集签名	大理龚彩云（170，122)		CircularTaskTool7_10
373	2	1-0000	1-2359			收集签名	大理龚彩云（170，122)		CircularTaskTool7_10
374	2	2-0000	2-2359			收集签名	大理龚彩云（170，122)		CircularTaskTool7_10
375	2	3-0000	3-2359			收集签名	大理龚彩云（170，122)		CircularTaskTool7_10
376	2	4-0000	4-2359			收集签名	大理龚彩云（170，122)		CircularTaskTool7_10
377	2	5-0000	5-2359			收集签名	大理龚彩云（170，122)		CircularTaskTool7_10
378	2	6-0000	6-2359			收集签名	大理龚彩云（170，122)		CircularTaskTool7_10
379	0	0709-0000	0709-2359			天龙向前冲	大理龚彩云、洛阳赵半水、苏州陈季常		taiwanzhuanyong2_10
380	0	0710-0000	0710-2359			天龙向前冲	大理龚彩云、洛阳赵半水、苏州陈季常		taiwanzhuanyong2_10
381	0	0711-0000	0711-2359			天龙向前冲	大理龚彩云、洛阳赵半水、苏州陈季常		taiwanzhuanyong2_10
382	0	0712-0000	0712-2359			天龙向前冲	大理龚彩云、洛阳赵半水、苏州陈季常		taiwanzhuanyong2_10
383	0	0713-0000	0713-2359			天龙向前冲	大理龚彩云、洛阳赵半水、苏州陈季常		taiwanzhuanyong2_10
384	0	0714-0000	0714-2359			天龙向前冲	大理龚彩云、洛阳赵半水、苏州陈季常		taiwanzhuanyong2_10
385	0	0715-0000	0715-2359			天龙向前冲	大理龚彩云、洛阳赵半水、苏州陈季常		taiwanzhuanyong2_10
386	0	0716-0000	0716-2359			天龙向前冲	大理龚彩云、洛阳赵半水、苏州陈季常		taiwanzhuanyong2_10
387	0	0717-0000	0717-2359			天龙向前冲	大理龚彩云、洛阳赵半水、苏州陈季常		taiwanzhuanyong2_10
388	0	0718-0000	0718-2359			天龙向前冲	大理龚彩云、洛阳赵半水、苏州陈季常		taiwanzhuanyong2_10
389	0	0719-0000	0719-2359			天龙向前冲	大理龚彩云、洛阳赵半水、苏州陈季常		taiwanzhuanyong2_10
390	0	0720-0000	0720-2359			天龙向前冲	大理龚彩云、洛阳赵半水、苏州陈季常		taiwanzhuanyong2_10
391	0	0721-0000	0721-2359			天龙向前冲	大理龚彩云、洛阳赵半水、苏州陈季常		taiwanzhuanyong2_10
392	0	0722-0000	0722-2359			天龙向前冲	大理龚彩云、洛阳赵半水、苏州陈季常		taiwanzhuanyong2_10
393	0	0723-0000	0723-2359			天龙向前冲	大理龚彩云、洛阳赵半水、苏州陈季常		taiwanzhuanyong2_10
394	0	0724-0000	0724-2359			天龙向前冲	大理龚彩云、洛阳赵半水、苏州陈季常		taiwanzhuanyong2_10
395	0	0725-0000	0725-2359			天龙向前冲	大理龚彩云、洛阳赵半水、苏州陈季常		taiwanzhuanyong2_10
396	0	0726-0000	0726-2359			天龙向前冲	大理龚彩云、洛阳赵半水、苏州陈季常		taiwanzhuanyong2_10
397	0	0727-0000	0727-2359			天龙向前冲	大理龚彩云、洛阳赵半水、苏州陈季常		taiwanzhuanyong2_10
398	0	0728-0000	0728-2359			天龙向前冲	大理龚彩云、洛阳赵半水、苏州陈季常		taiwanzhuanyong2_10
399	0	0729-0000	0729-2359			天龙向前冲	大理龚彩云、洛阳赵半水、苏州陈季常		taiwanzhuanyong2_10
400	0	0730-0000	0730-2359			天龙向前冲	大理龚彩云、洛阳赵半水、苏州陈季常		taiwanzhuanyong2_10
401	0	0731-0000	0731-2359			天龙向前冲	大理龚彩云、洛阳赵半水、苏州陈季常		taiwanzhuanyong2_10
402	0	0801-0000	0801-2359			天龙向前冲	大理龚彩云、洛阳赵半水、苏州陈季常		taiwanzhuanyong2_10
403	0	0802-0000	0802-2359			天龙向前冲	大理龚彩云、洛阳赵半水、苏州陈季常		taiwanzhuanyong2_10
404	0	0803-0000	0803-2359			天龙向前冲	大理龚彩云、洛阳赵半水、苏州陈季常		taiwanzhuanyong2_10
405	0	0804-0000	0804-2359			天龙向前冲	大理龚彩云、洛阳赵半水、苏州陈季常		taiwanzhuanyong2_10
406	0	0805-0000	0805-2359			天龙向前冲	大理龚彩云、洛阳赵半水、苏州陈季常		taiwanzhuanyong2_10
407	0	0806-0000	0806-2359			天龙向前冲	大理龚彩云、洛阳赵半水、苏州陈季常		taiwanzhuanyong2_10
408	0	0807-0000	0807-2359			天龙向前冲	大理龚彩云、洛阳赵半水、苏州陈季常		taiwanzhuanyong2_10
409	0	0808-0000	0808-2359			天龙向前冲	大理龚彩云、洛阳赵半水、苏州陈季常		taiwanzhuanyong2_10
410	0	0809-0000	0809-2359			天龙向前冲	大理龚彩云、洛阳赵半水、苏州陈季常		taiwanzhuanyong2_10
411	0	0810-0000	0810-2359			天龙向前冲	大理龚彩云、洛阳赵半水、苏州陈季常		taiwanzhuanyong2_10
412	0	0811-0000	0811-2359			天龙向前冲	大理龚彩云、洛阳赵半水、苏州陈季常		taiwanzhuanyong2_10
413	0	0812-0000	0812-2359			天龙向前冲	大理龚彩云、洛阳赵半水、苏州陈季常		taiwanzhuanyong2_10
414	0	0813-0000	0813-2359			天龙向前冲	大理龚彩云、洛阳赵半水、苏州陈季常		taiwanzhuanyong2_10
415	0	0814-0000	0814-2359			天龙向前冲	大理龚彩云、洛阳赵半水、苏州陈季常		taiwanzhuanyong2_10
416	0	0815-0000	0815-2359			天龙向前冲	大理龚彩云、洛阳赵半水、苏州陈季常		taiwanzhuanyong2_10
417	0	0816-0000	0816-2359			天龙向前冲	大理龚彩云、洛阳赵半水、苏州陈季常		taiwanzhuanyong2_10
418	2	0-0000	0-2359			爱心救助活动	大理(175，147)孙八爷		taiwanzhuanyong5_16
419	2	1-0000	1-2359			爱心救助活动	大理(175，147)孙八爷		taiwanzhuanyong5_16
420	2	2-0000	2-2359			爱心救助活动	大理(175，147)孙八爷		taiwanzhuanyong5_16
421	2	3-0000	3-2359			爱心救助活动	大理(175，147)孙八爷		taiwanzhuanyong5_16
422	2	4-0000	4-2359			爱心救助活动	大理(175，147)孙八爷		taiwanzhuanyong5_16
423	2	5-0000	5-2359			爱心救助活动	大理(175，147)孙八爷		taiwanzhuanyong5_16
424	2	6-0000	6-2359			爱心救助活动	大理(175，147)孙八爷		taiwanzhuanyong5_16
425	0	0812-0000	0812-2359			决战在即	大理(175，147)孙八爷		Huodong_2_15
426	0	0813-0000	0813-2359			决战在即	大理(175，147)孙八爷		Huodong_2_15
427	0	0814-0000	0814-2359			决战在即	大理(175，147)孙八爷		Huodong_2_15
428	0	0815-0000	0815-2359			决战在即	大理(175，147)孙八爷		Huodong_2_15
429	0	0816-0000	0816-2359			决战在即	大理(175，147)孙八爷		Huodong_2_15
430	0	0817-0000	0817-2359			决战在即	大理(175，147)孙八爷		Huodong_2_15
431	0	0818-0000	0818-2359			决战在即	大理(175，147)孙八爷		Huodong_2_15
432	0	0819-0000	0819-2359			决战在即	大理(175，147)孙八爷		Huodong_2_15
433	0	0820-0000	0820-2359			决战在即	大理(175，147)孙八爷		Huodong_2_15
434	0	0821-0000	0821-2359			决战在即	大理(175，147)孙八爷		Huodong_2_15
435	0	0822-0000	0822-2359			决战在即	大理(175，147)孙八爷		Huodong_2_15
436	0	0823-0000	0823-2359			决战在即	大理(175，147)孙八爷		Huodong_2_15
437	0	0824-0000	0824-2359			决战在即	大理(175，147)孙八爷		Huodong_2_15
438	0	0825-0000	0825-2359			决战在即	大理(175，147)孙八爷		Huodong_2_15
439	0	0826-0000	0826-2359			决战在即	大理(175，147)孙八爷		Huodong_2_15
440	0	0827-0000	0827-2359			决战在即	大理(175，147)孙八爷		Huodong_2_15
441	0	0828-0000	0828-2359			决战在即	大理(175，147)孙八爷		Huodong_2_15
442	0	0829-0000	0829-2359			决战在即	大理(175，147)孙八爷		Huodong_2_15
443	0	0830-0000	0830-2359			决战在即	大理(175，147)孙八爷		Huodong_2_15
444	0	0831-0000	0831-2359			决战在即	大理(175，147)孙八爷		Huodong_2_15
445	0	0901-0000	0901-2359			决战在即	大理(175，147)孙八爷		Huodong_2_15
446	0	0902-0000	0902-2359			决战在即	大理(175，147)孙八爷		Huodong_2_15
447	0	0903-0000	0903-2359			决战在即	大理(175，147)孙八爷		Huodong_2_15
448	0	0904-0000	0904-2359			决战在即	大理(175，147)孙八爷		Huodong_2_15
449	0	0905-0000	0905-2359			决战在即	大理(175，147)孙八爷		Huodong_2_15
450	0	0906-0000	0906-2359			决战在即	大理(175，147)孙八爷		Huodong_2_15
451	0	0907-0000	0907-2359			决战在即	大理(175，147)孙八爷		Huodong_2_15
452	0	0908-0000	0908-2359			决战在即	大理(175，147)孙八爷		Huodong_2_15
453	0	0909-0000	0909-2359			决战在即	大理(175，147)孙八爷		Huodong_2_15
454	0	0910-0000	0910-2359			决战在即	大理(175，147)孙八爷		Huodong_2_15
455	0	0911-0000	0911-2359			决战在即	大理(175，147)孙八爷		Huodong_2_15
456	0	0912-0000	0912-2359			决战在即	大理(175，147)孙八爷		Huodong_2_15
457	0	0913-0000	0913-2359			决战在即	大理(175，147)孙八爷		Huodong_2_15
458	0	0914-0000	0914-2359			决战在即	大理(175，147)孙八爷		Huodong_2_15
459	0	0915-0000	0915-2359			决战在即	大理(175，147)孙八爷		Huodong_2_15
460	0	0916-0000	0916-2359			决战在即	大理(175，147)孙八爷		Huodong_2_15
461	0	0820-0000	0820-2359			七夕情人节	苏州左桐（129，212）		taiwanzhuanyong6_15
462	0	0821-0000	0821-2359			七夕情人节	苏州左桐（129，212）		taiwanzhuanyong6_15
463	0	0822-0000	0822-2359			七夕情人节	苏州左桐（129，212）		taiwanzhuanyong6_15
464	0	0823-0000	0823-2359			七夕情人节	苏州左桐（129，212）		taiwanzhuanyong6_15
465	0	0824-0000	0824-2359			七夕情人节	苏州左桐（129，212）		taiwanzhuanyong6_15
466	0	0825-0000	0825-2359			七夕情人节	苏州左桐（129，212）		taiwanzhuanyong6_15
467	0	0826-0000	0826-2359			七夕情人节	苏州左桐（129，212）		taiwanzhuanyong6_15
468	0	0827-0000	0827-2359			七夕情人节	苏州左桐（129，212）		taiwanzhuanyong6_15
469	0	0828-0000	0828-2359			七夕情人节	苏州左桐（129，212）		taiwanzhuanyong6_15
470	0	0829-0000	0829-2359			七夕情人节	苏州左桐（129，212）		taiwanzhuanyong6_15
471	0	0830-0000	0830-2359			七夕情人节	苏州左桐（129，212）		taiwanzhuanyong6_15
472	0	0831-0000	0831-2359			七夕情人节	苏州左桐（129，212）		taiwanzhuanyong6_15
473	0	0901-0000	0901-2359			七夕情人节	苏州左桐（129，212）		taiwanzhuanyong6_15
474	0	0902-0000	0902-2359			七夕情人节	苏州左桐（129，212）		taiwanzhuanyong6_15
475	0	0823-1900	0823-2300			横扫牡丹碗	洛阳童贯、大理夏青青、苏州于倩倩		Huodong_6
