INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT
143	千合戒指图样	10222013	1	6	2	20103003	21	20103087	42	20308113	1	-1	-1	-1	-1	25	-1	-1	-1	-1	-1	-1	0	1	12	3000	-1	-1	我填了	7	-1
144	吉祥戒指图样	10222014	1	6	3	20103004	28	20103088	54	20308114	1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	12	3000	-1	-1	我填了	7	-1
145	悬决图样	10222015	1	6	4	20103005	35	20103089	66	20308115	1	-1	-1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	12	3000	-1	-1	我填了	7	-1
146	天影图样	10222016	1	6	5	20103006	42	20103090	84	20308116	1	-1	-1	-1	-1	45	-1	-1	-1	-1	-1	-1	0	1	12	3000	-1	-1	我填了	7	-1
147	八珍图样	10222017	1	6	6	20103007	49	20103091	96	20308117	1	-1	-1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	12	3000	-1	-1	我填了	7	-1
148	百川图样	10222018	1	6	7	20103008	56	20103092	108	20308118	1	-1	-1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	12	3000	-1	-1	我填了	7	-1
149	妖言图样	10222019	1	6	8	20103009	63	20103093	126	20308119	1	-1	-1	-1	-1	65	-1	-1	-1	-1	-1	-1	0	1	12	3000	-1	-1	我填了	7	-1
150	佛语图样	10222020	1	6	9	20103010	69	20103094	138	20308120	1	-1	-1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	12	3000	-1	-1	我填了	7	-1
151	寒沐护符图样	10223011	1	6	1	20103001	7	20103085	12	20308121	1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	13	3000	-1	-1	我填了	7	-1
152	青语护符图样	10223012	1	6	1	20103002	14	20103086	24	20308122	1	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	13	3000	-1	-1	我填了	7	-1
153	玄蝶护符图样	10223013	1	6	2	20103003	21	20103087	42	20308123	1	-1	-1	-1	-1	25	-1	-1	-1	-1	-1	-1	0	1	13	3000	-1	-1	我填了	7	-1
154	暗丝护符图样	10223014	1	6	3	20103004	28	20103088	54	20308124	1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	13	3000	-1	-1	我填了	7	-1
155	如蛟护符图样	10223015	1	6	4	20103005	35	20103089	66	20308125	1	-1	-1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	13	3000	-1	-1	我填了	7	-1
156	云落护符图样	10223016	1	6	5	20103006	42	20103090	84	20308126	1	-1	-1	-1	-1	45	-1	-1	-1	-1	-1	-1	0	1	13	3000	-1	-1	我填了	7	-1
157	九涟图样	10223017	1	6	6	20103007	49	20103091	96	20308127	1	-1	-1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	13	3000	-1	-1	我填了	7	-1
158	宿蛟图样	10223018	1	6	7	20103008	56	20103092	108	20308128	1	-1	-1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	13	3000	-1	-1	我填了	7	-1
159	川暮图样	10223019	1	6	8	20103009	63	20103093	126	20308129	1	-1	-1	-1	-1	65	-1	-1	-1	-1	-1	-1	0	1	13	3000	-1	-1	我填了	7	-1
160	飞雪图样	10223020	1	6	9	20103010	69	20103094	138	20308130	1	-1	-1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	13	3000	-1	-1	我填了	7	-1
161	未使用	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
162	未使用	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
163	初级药配方	-1	-1	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	18	3000	700900	-1	将一些初级药材，如：#G白英、蒲黄、川贝、元胡、枇杷、甘草、金银花#W加工成为初级药品。#r#c54FF00（基础消耗活力10点，受药理技能等级影响）	-1	-1
164	中级药配方	-1	-1	2	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	18	3000	700900	-1	将一些中级药材，如：#G黄芩、枸杞、沉香、杜仲、苍术、茯苓、防风、香薷、黄连#W加工成为中级药品。#r#c54FF00（基础消耗活力15点，受药理技能等级影响）	-1	-1
165	高级药配方	-1	-1	2	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	18	3000	700900	-1	将一些高级药材，如：#G当归、桂心、香附、藿香、回神草、首乌、冬虫夏草、龙葵籽、象贝、人参#W等加工成为高级药品。#r#c54FF00（基础消耗活力23点，受药理技能等级影响）	-1	-1
166	金创药配方	30001003	1	2	3	20101005	3	20108171	1	20301001	4	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	14	3000	-1	30003003	我填了	-1	-1
167	归灵丸配方	30002003	1	2	3	20101006	3	20108171	1	20301001	4	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	14	3000	-1	30003003	我填了	-1	-1
168	天麻膏配方	30003003	1	2	3	20101007	3	20108171	1	20301001	4	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	14	3000	-1	30003003	我填了	-1	-1
169	翠波散配方	30005011	1	2	3	20101005	3	20108171	1	20301001	4	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	15	3000	-1	30003003	我填了	-1	-1
170	雷泽散配方	30005013	1	2	3	20101006	3	20108171	1	20301001	4	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	15	3000	-1	30003003	我填了	-1	-1
171	火护散配方	30005015	1	2	3	20101007	3	20108171	1	20301001	4	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	15	3000	-1	30003003	我填了	-1	-1
172	避毒散配方	30005017	1	2	3	20101005	3	20108171	1	20301001	4	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	15	3000	-1	30003003	我填了	-1	-1
173	庇护散配方	30005019	1	2	3	20101006	3	20108171	1	20301001	4	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	15	3000	-1	30003003	我填了	-1	-1
174	首乌丹配方	30001006	1	2	6	20101014	4	20108174	2	20301002	6	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	14	3000	-1	30003006	我填了	-1	-1
175	琼丹配方	30002006	1	2	6	20101015	4	20108174	2	20301002	6	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	14	3000	-1	30003006	我填了	-1	-1
176	红颜膏配方	30003006	1	2	6	20101016	4	20108174	2	20301002	6	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	14	3000	-1	30003006	我填了	-1	-1
177	霸王丸配方	30004003	1	2	6	20101014	4	20108174	2	20301002	6	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	15	3000	-1	30003006	我填了	-1	-1
178	仙玉丸配方	30004008	1	2	6	20101013	4	20108174	2	20301002	6	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	15	3000	-1	30003006	我填了	-1	-1
179	无回丸配方	30004013	1	2	6	20101015	4	20108174	2	20301002	6	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	15	3000	-1	30003006	我填了	-1	-1
180	梯云丸配方	30004018	1	2	6	20101016	4	20108174	2	20301002	6	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	15	3000	-1	30003006	我填了	-1	-1
181	神定丸配方	30004023	1	2	6	20101013	4	20108174	2	20301002	6	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	15	3000	-1	30003006	我填了	-1	-1
182	障罗丸配方	30005003	1	2	6	20101015	4	20108174	2	20301002	6	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	15	3000	-1	30003006	我填了	-1	-1
183	辉月丸配方	30005008	1	2	6	20101016	4	20108174	2	20301002	6	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	15	3000	-1	30003006	我填了	-1	-1
184	仙丹魂魄配方	30001009	1	2	9	20101023	6	20108177	6	20301003	12	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	14	3000	-1	30003007	我填了	-1	-1
185	仙丹往生配方	30001010	1	2	10	20101025	5	20108178	7	20301003	12	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	14	3000	-1	30003007	我填了	-1	-1
186	仙丹金元配方	30002009	1	2	9	20101024	6	20108177	6	20301003	12	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	14	3000	-1	30003007	我填了	-1	-1
187	仙丹神通配方	30002010	1	2	10	20101026	5	20108178	7	20301003	12	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	14	3000	-1	30003007	我填了	-1	-1
188	延寿膏配方	30003009	1	2	9	20101024	6	20108177	3	20301003	1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	14	3000	-1	30003007	我填了	-1	-1
189	不老膏配方	30003010	1	2	10	20101026	6	20108178	4	20301003	1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	14	3000	-1	30003007	我填了	-1	-1
190	力撼地配方	30004005	1	2	10	20101026	6	20108178	4	20301003	1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	15	3000	-1	30003007	我填了	-1	-1
191	灵仙罗配方	30004010	1	2	10	20101025	6	20108178	4	20301003	1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	15	3000	-1	30003007	我填了	-1	-1
192	体天若配方	30004015	1	2	10	20101026	6	20108178	4	20301003	1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	15	3000	-1	30003007	我填了	-1	-1
193	敏飞升配方	30004020	1	2	10	20101025	6	20108178	4	20301003	1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	15	3000	-1	30003007	我填了	-1	-1
194	定致远配方	30004025	1	2	10	20101026	6	20108178	4	20301003	1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	15	3000	-1	30003007	我填了	-1	-1
195	防列阵配方	30005005	1	2	10	20101025	6	20108178	4	20301003	1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	15	3000	-1	30003007	我填了	-1	-1
196	防阴阳配方	30005010	1	2	10	20101026	6	20108178	4	20301003	1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	15	3000	-1	30003007	我填了	-1	-1
197	龙牙散配方	30006002	1	2	9	20101023	6	20108177	3	20301003	1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	15	3000	-1	30003007	我填了	-1	-1
198	伯灵散配方	30006004	1	2	9	20101024	6	20108177	3	20301003	1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	15	3000	-1	30003007	我填了	-1	-1
199	冰灵散配方	30006006	1	2	9	20101023	6	20108177	3	20301003	1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	15	3000	-1	30003007	我填了	-1	-1
200	金雷散配方	30006008	1	2	9	20101024	6	20108177	3	20301003	1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	15	3000	-1	30003007	我填了	-1	-1
201	真火散配方	30006010	1	2	9	20101023	6	20108177	3	20301003	1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	15	3000	-1	30003007	我填了	-1	-1
202	九藜散配方	30006012	1	2	9	20101023	6	20108177	3	20301003	1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	15	3000	-1	30003007	我填了	-1	-1
203	天眼丹配方	30006014	1	2	9	20101020	6	20108177	3	20301003	1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	15	3000	-1	30003007	我填了	-1	-1
204	小经验丹配方	30007001	1	2	11	20101026	7	20108179	4	20301003	1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	0	15	3000	-1	30003007	我填了	-1	-1
205	大经验丹配方	30007002	1	2	12	20101028	7	20108180	4	20301003	1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	0	15	3000	-1	30003007	我填了	-1	-1
206	王母仙丹配方	30007003	1	2	12	20101029	7	20108180	4	20301003	1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	0	15	3000	-1	30003007	我填了	-1	-1
207	英月散配方	30007004	1	2	9	20101023	6	20108177	4	20301003	1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	15	3000	-1	30003007	我填了	-1	-1
208	火龙丹配方	30007005	1	2	9	20101024	6	20108177	4	20301003	1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	15	3000	-1	30003007	我填了	-1	-1
209	千尺丹配方	30007006	1	2	9	20101023	6	20108177	4	20301003	1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	15	3000	-1	30003007	我填了	-1	-1
210	定气散配方	30007007	1	2	9	20101024	6	20108177	4	20301003	1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	15	3000	-1	30003007	我填了	-1	-1
211	冥意散配方	30007008	1	2	9	20101023	6	20108177	4	20301003	1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	15	3000	-1	30003007	我填了	-1	-1
212	灵触散配方	30007009	1	2	9	20101024	6	20108177	4	20301003	1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	15	3000	-1	30003007	我填了	-1	-1
213	初级食物配方	-1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	-1	0	1	18	3000	700900	-1	已废弃	-1	-1
214	中级食物配方	-1	-1	1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	-1	-1	-1	-1	-1	-1	0	1	18	3000	700900	-1	已废弃	-1	-1
215	高级食物配方	-1	-1	1	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	18	3000	700900	-1	已废弃	-1	-1
216	玉米饼配方	30101003	1	1	3	20104003	3	20106003	1	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	16	3000	-1	30101003	我填了	-1	-1
217	混沌配方	30101006	1	1	6	20104006	4	20106006	2	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	16	3000	-1	30101006	我填了	-1	-1
218	麻花配方	30101009	1	1	9	20104009	6	20106009	3	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	16	3000	-1	30101009	我填了	-1	-1
219	元宵配方	30101010	1	1	10	20104010	6	20106010	4	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	16	3000	-1	30101009	我填了	-1	-1
220	水晶丸子配方	30101011	1	1	11	20104011	7	20106011	4	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	0	16	3000	-1	30101009	我填了	-1	-1
221	煎饼配方	30101012	1	1	12	20104012	7	20106012	4	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	0	16	3000	-1	30101009	我填了	-1	-1
222	八宝粥配方	30101015	1	1	3	20104003	3	20106003	1	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	16	3000	-1	30101003	我填了	-1	-1
223	过桥米线配方	30101018	1	1	6	20104006	4	20106006	2	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	16	3000	-1	30101006	我填了	-1	-1
224	米糕配方	30101021	1	1	9	20104009	6	20106009	3	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	16	3000	-1	30101009	我填了	-1	-1
225	桃酥配方	30101022	1	1	10	20104010	6	20106010	4	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	16	3000	-1	30101009	我填了	-1	-1
226	粉皮配方	30101023	1	1	11	20104011	7	20106011	4	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	0	16	3000	-1	30101009	我填了	-1	-1
227	窝窝头配方	30101024	1	1	12	20104012	7	20106012	4	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	0	16	3000	-1	30101009	我填了	-1	-1
228	红焖熊爪配方	30102003	1	1	6	20104006	4	20106006	2	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	17	3000	-1	30101006	我填了	-1	-1
229	紫菜汤配方	30102007	1	1	6	20104006	4	20106006	2	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	17	3000	-1	30101006	我填了	-1	-1
230	红烧甲鱼配方	30102011	1	1	6	20104006	4	20106006	2	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	17	3000	-1	30101006	我填了	-1	-1
231	排骨粥配方	30102015	1	1	6	20104006	4	20106006	2	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	17	3000	-1	30101006	我填了	-1	-1
232	灌汤包配方	30102019	1	1	6	20104006	4	20106006	2	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	17	3000	-1	30101006	我填了	-1	-1
233	洋参土鳖粥配方	30103001	1	1	12	20104011	7	20106012	4	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	0	17	3000	-1	30101009	我填了	-1	-1
234	小血咒配方	30201001	1	16	1	20101001	2	20108157	2	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
235	红血咒配方	30201002	1	16	3	20101003	2	20108159	2	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
236	赤血咒配方	30201003	1	16	5	20101011	3	20108161	3	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
237	千血咒配方	30201004	1	16	7	20101017	6	20108163	6	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
238	万血咒配方	30201005	1	16	9	20101023	6	20108165	6	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
239	小魔咒配方	30201006	1	16	2	20101003	2	20108158	2	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
240	大魔咒配方	30201007	1	16	4	20101008	3	20108160	3	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
241	地魔咒配方	30201008	1	16	6	20101014	3	20108162	3	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
242	鬼魔咒配方	30201009	1	16	8	20101020	6	20108164	6	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
243	天魔咒配方	30201010	1	16	10	20101025	6	20108166	6	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
244	大力舍利配方	30202001	1	11	1	20101002	2	20108157	2	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
245	象力舍利配方	30202002	1	11	4	20101010	3	20108160	3	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
246	神力舍利配方	30202003	1	11	10	20101017	6	20108163	6	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
247	小战火配方	30202004	1	12	1	20101002	2	20108157	2	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
248	狼烟火配方	30202005	1	12	4	20101009	3	20108160	3	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
249	连天火配方	30202006	1	12	10	20101016	6	20108163	6	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
250	花子蚂蚁酒配方	30202007	1	13	1	20101001	2	20108157	2	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
251	花子蜈蚣酒配方	30202008	1	13	4	20101010	3	20108160	3	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
252	花子蟒蛇酒配方	30202009	1	13	10	20101017	6	20108163	6	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
253	通灵丹配方	30202010	1	18	1	20101002	2	20108157	2	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
254	太极丹配方	30202011	1	18	4	20101009	3	20108160	3	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
255	圣灵丹配方	30202012	1	18	10	20101018	6	20108163	6	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
256	通灵帖配方	30202013	1	19	1	20101003	2	20108157	2	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
257	太极帖配方	30202014	1	19	4	20101010	3	20108160	3	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
258	圣灵帖配方	30202015	1	19	10	20101017	6	20108163	6	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
259	通灵蛊配方	30202016	1	15	1	20101002	2	20108157	2	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
260	太极蛊配方	30202017	1	15	4	20101009	3	20108160	3	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
261	圣灵蛊配方	30202018	1	15	10	20101019	6	20108163	6	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
262	壮骨晶配方	30202019	1	14	1	20101002	2	20108157	2	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
263	强身晶配方	30202020	1	14	4	20101010	3	20108160	3	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
264	护体晶配方	30202021	1	14	10	20101017	6	20108163	6	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
265	壮骨舍利配方	30202022	1	11	1	20101002	2	20108157	2	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
266	强身舍利配方	30202023	1	11	4	20101009	3	20108160	3	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
267	护体舍利配方	30202024	1	11	9	20101018	6	20108163	6	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
268	壮骨丹配方	30202025	1	18	1	20101002	2	20108157	2	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
269	强身丹配方	30202026	1	18	4	20101010	3	20108160	3	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
270	护体丹配方	30202027	1	18	9	20101018	6	20108163	6	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
271	壮骨帖配方	30202028	1	19	1	20101002	2	20108157	2	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
272	强身帖配方	30202029	1	19	4	20101009	3	20108160	3	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
273	护体帖配方	30202030	1	19	9	20101018	6	20108163	6	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
274	壮骨蛊配方	30202031	1	15	1	20101001	2	20108157	2	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
275	强身蛊配方	30202032	1	15	4	20101010	3	20108160	3	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
276	护体蛊配方	30202033	1	15	9	20101017	6	20108163	6	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
277	灵巧蛊配方	30202034	1	15	1	20101002	2	20108157	2	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
278	燕行蛊配方	30202035	1	15	4	20101009	3	20108160	3	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
279	神行蛊配方	30202036	1	15	7	20101019	6	20108163	6	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
280	灵巧火配方	30202037	1	12	1	20101002	2	20108157	2	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
281	燕行火配方	30202038	1	12	4	20101010	3	20108160	3	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
282	神行火配方	30202039	1	12	9	20101017	6	20108163	6	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
283	灵巧酒配方	30202040	1	13	1	20101002	2	20108157	2	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
284	燕行酒配方	30202041	1	13	4	20101009	3	20108160	3	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
285	神行酒配方	30202042	1	13	7	20101016	6	20108163	6	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	我填了	-1	-1
