INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT
#133	1	0	12300	0	808076	88	0	0	0	0	0	4	180	#{SL_20080416_04}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	五一师门赠礼活动	12395
#134	1	0	11801	0	808076	88	0	0	0	0	0	4	240	#{XSHCD_20080418_002}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	新圣火传递	11895
#135	1	0	11901	0	808076	88	0	0	0	0	0	4	240	#{XSHCD_20080418_002}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	新圣火传递	11995
#136	1	0	12001	0	808076	88	0	0	0	0	0	4	240	#{XSHCD_20080418_002}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	新圣火传递	12095
#137	1	0	12101	0	808076	88	0	0	0	0	0	4	240	#{XSHCD_20080418_002}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	新圣火传递	12195
#138	1	0	12201	0	808076	88	0	0	0	0	0	4	240	#{XSHCD_20080418_002}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	新圣火传递	12295
#139	1	0	12301	0	808076	88	0	0	0	0	0	4	240	#{XSHCD_20080418_002}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	新圣火传递	12395
#140	1	0	12401	0	808076	88	0	0	0	0	0	4	240	#{XSHCD_20080418_003}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	新圣火传递	12495
#141	1	0	12501	0	808076	88	0	0	0	0	0	4	240	#{XSHCD_20080418_003}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	新圣火传递	12595
#142	1	0	12601	0	808076	88	0	0	0	0	0	4	240	#{XSHCD_20080418_003}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	新圣火传递	12695
#143	1	0	12701	0	808076	88	0	0	0	0	0	4	240	#{XSHCD_20080418_003}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	新圣火传递	12795
#144	1	0	12801	0	808076	88	0	0	0	0	0	4	240	#{XSHCD_20080418_003}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	新圣火传递	12895
#145	1	0	12901	0	808076	88	0	0	0	0	0	4	240	#{XSHCD_20080418_003}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	新圣火传递	12995
#146	1	0	13001	0	808076	88	0	0	0	0	0	4	240	#{XSHCD_20080418_003}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	新圣火传递	13095
#147	1	0	12479	0	808076	88	0	0	0	0	0	4	120	#{XSHCD_20080418_005}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	新圣火传递	12495
#148	1	0	12579	0	808076	88	0	0	0	0	0	4	120	#{XSHCD_20080418_005}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	新圣火传递	12595
#149	1	0	12679	0	808076	88	0	0	0	0	0	4	120	#{XSHCD_20080418_005}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	新圣火传递	12695
#150	1	0	12779	0	808076	88	0	0	0	0	0	4	120	#{XSHCD_20080418_005}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	新圣火传递	12795
#151	1	0	12879	0	808076	88	0	0	0	0	0	4	120	#{XSHCD_20080418_005}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	新圣火传递	12895
#152	1	0	12979	0	808076	88	0	0	0	0	0	4	120	#{XSHCD_20080418_005}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	新圣火传递	12995
#153	1	0	13079	0	808076	88	0	0	0	0	0	4	120	#{XSHCD_20080418_005}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	新圣火传递	13095
#154	1	0	12479	0	808076	88	0	0	0	0	0	4	60	#{XSHCD_20080418_006}	180	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	新圣火传递	12495
#155	1	0	12579	0	808076	88	0	0	0	0	0	4	60	#{XSHCD_20080418_006}	180	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	新圣火传递	12595
#156	1	0	12679	0	808076	88	0	0	0	0	0	4	60	#{XSHCD_20080418_006}	180	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	新圣火传递	12695
#157	1	0	12779	0	808076	88	0	0	0	0	0	4	60	#{XSHCD_20080418_006}	180	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	新圣火传递	12795
#158	1	0	12879	0	808076	88	0	0	0	0	0	4	60	#{XSHCD_20080418_006}	180	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	新圣火传递	12895
#159	1	0	12979	0	808076	88	0	0	0	0	0	4	60	#{XSHCD_20080418_006}	180	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	新圣火传递	12995
#160	1	0	13079	0	808076	88	0	0	0	0	0	4	60	#{XSHCD_20080418_006}	180	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	新圣火传递	13095
161	0	1	77	0	805041	88	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-2	保护帮会	95
162	0	1	77	0	805041	88	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-2	保护帮会	95
163	1	1	1	0	808076	75	0	0	0	0	0	4	480	#{STZDY_20080513_01}	1438	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	夺宝师徒恋	95
164	1	1	5	0	808076	75	0	0	0	0	0	4	480	#{STZDY_20080513_02}	1438	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	夺宝师徒恋	95
165	1	1	1	0	808076	75	0	0	0	0	0	4	480	#{STZDY_20080513_03}	1438	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	夺宝师徒恋	95
166	1	1	0	420	808040	95	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	极品装备	-1
167	0	1	2	420	820001	88	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		-1
#168	1	1	76	0	808076	88	0	0	0	0	0	4	60	#P横扫牡丹碗蹴鞠大赛本月最为关键的一场比赛即将在#Y明天下午19点整#P拉开帷幕！请各路英雄组织队伍，厉兵秣马，领双备药，准备参赛！	240	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	奥运蹴鞠活动预告	95
#169	1	1	12	0	808076	75	0	0	0	0	0	4	120	#cff99cc横扫牡丹碗蹴鞠大赛本月最为关键的一场比赛即将在#Y今天下午19点整#cff99cc拉开帷幕！请各路英雄组织队伍，厉兵秣马，领双备药，准备参赛！	840	60	#cff99cc蹴鞠大赛本月最为关键的一场比赛将在#Y19点整#cff99cc拉开帷幕！请各路英雄组织队伍，厉兵秣马，领双备药，准备参赛！	960	60	#cff99cc蹴鞠大赛横扫牡丹碗活动已经开始！请大家到#G洛阳城端王府[204，57]#cff99cc找到#Y童贯#cff99cc大人、#G大理[282，94]#Y夏青青#cff99cc、#G苏州[187，147]#Y于倩倩#cff99cc参加比赛！	1140	30	#cff99cc蹴鞠大赛即将在今天晚上#Y23点#cff99cc结束本日的比赛，请各路英雄抓紧时间清场了！	1200	5	#cff99cc蹴鞠大赛本日比赛到此结束，请各路英雄关注稍后的赛事，谢谢！	1205	-1	奥运蹴鞠活动公告	95
170	0	1	66	0	808000	0	0	0	0	0	0	4	30	#P新一轮的#G楼兰寻宝活动#P即将于#G19：30#P开始，请各位玩家做好准备。所有等级达到#G75级#P，心法等级达到#G40级#P的玩家，只要组成#G3人或以上#P的队伍，找到#G楼兰（162，75）金久灵#P就可以参加。	170	5	#G楼兰寻宝活动#P即将于#G19：30#P开始，请到#G楼兰（162，75）#P找到#G金久灵#P报名即可参加。所有等级达到#G75级#P，心法等级达到#G40级#P的玩家，只要组成#G3人或以上#P的队伍就可以参加。	180	20	#G楼兰寻宝活动#P已经开始了，请到#G楼兰（162，75）#P找到#G金久灵#P报名即可参加。	320	5	#P今天的#G楼兰寻宝活动#P将于#G22：00#P结束，请各位玩家抓紧时间。	329	1	#P今天的#G楼兰寻宝活动#P已经结束，感谢各位的参与。欢迎您明天再来！	330	-1	楼兰寻宝	95
#171	0	1	85	186	808120	0	0	0	0	0	0	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	玄武岛雷麟雏凤	-1
172	0	1	87	186	808120	0	0	0	0	0	0	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	玄武岛雷麟雏凤	-1
#173	0	1	85	186	808000	0	0	0	0	0	0	4	30	#{XXWD_8815_06}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	玄武岛雷麟雏凤	87
174	0	1	87	186	808000	0	0	0	0	0	0	4	30	#{XXWD_8815_06}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	玄武岛雷麟雏凤	89
#175	0	0	26376	0	808000	88	0	0	0	0	0	4	60	#{MDW_20080317_01}	240	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	周六蹴鞠活动预告	26395
#176	0	0	26412	0	808000	75	0	0	0	0	0	4	120	#P横扫牡丹碗蹴鞠大赛本月最为关键的一场比赛即将在#Y今天下午19点整#P拉开帷幕！请各路英雄组织队伍，厉兵秣马，领双备药，准备参赛！	840	60	#P蹴鞠大赛本月最为关键的一场比赛将在#Y19点整#P拉开帷幕！请各路英雄组织队伍，厉兵秣马，领双备药，准备参赛！	960	30	#P蹴鞠大赛横扫牡丹碗活动已经开始！请大家到#G洛阳城端王府[204，57]#P找到#Y童贯#P大人、#G大理[282，94]#Y夏青青#P、#G苏州[187，147]#Y于倩倩#P参加比赛！	1140	30	#P蹴鞠大赛即将在今天晚上#Y23点#P结束本日的比赛，请各路英雄抓紧时间清场了！	1200	5	#P蹴鞠大赛本日比赛到此结束，请各路英雄下个月再来关注比赛，谢谢！	1205	-1	周日蹴鞠活动公告	26495
#177	0	0	29176	0	808000	88	0	0	0	0	0	4	60	#{MDW_20080317_01}	240	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	周六蹴鞠活动预告	29195
#178	0	0	29212	0	808000	75	0	0	0	0	0	4	120	#P横扫牡丹碗蹴鞠大赛本月最为关键的一场比赛即将在#Y今天下午19点整#P拉开帷幕！请各路英雄组织队伍，厉兵秣马，领双备药，准备参赛！	840	60	#P蹴鞠大赛本月最为关键的一场比赛将在#Y19点整#P拉开帷幕！请各路英雄组织队伍，厉兵秣马，领双备药，准备参赛！	960	30	#P蹴鞠大赛横扫牡丹碗活动已经开始！请大家到#G洛阳城端王府[204，57]#P找到#Y童贯#P大人、#G大理[282，94]#Y夏青青#P、#G苏州[187，147]#Y于倩倩#P参加比赛！	1140	30	#P蹴鞠大赛即将在今天晚上#Y23点#P结束本日的比赛，请各路英雄抓紧时间清场了！	1200	5	#P蹴鞠大赛本日比赛到此结束，请各路英雄下个月再来关注比赛，谢谢！	1205	-1	周日蹴鞠活动公告	29295
#179	0	0	31976	0	808000	88	0	0	0	0	0	4	60	#{MDW_20080317_01}	240	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	周六蹴鞠活动预告	31995
#180	0	0	32012	0	808000	75	0	0	0	0	0	4	120	#P横扫牡丹碗蹴鞠大赛本月最为关键的一场比赛即将在#Y今天下午19点整#P拉开帷幕！请各路英雄组织队伍，厉兵秣马，领双备药，准备参赛！	840	60	#P蹴鞠大赛本月最为关键的一场比赛将在#Y19点整#P拉开帷幕！请各路英雄组织队伍，厉兵秣马，领双备药，准备参赛！	960	30	#P蹴鞠大赛横扫牡丹碗活动已经开始！请大家到#G洛阳城端王府[204，57]#P找到#Y童贯#P大人、#G大理[282，94]#Y夏青青#P、#G苏州[187，147]#Y于倩倩#P参加比赛！	1140	30	#P蹴鞠大赛即将在今天晚上#Y23点#P结束本日的比赛，请各路英雄抓紧时间清场了！	1200	5	#P蹴鞠大赛本日比赛到此结束，请各路英雄下个月再来关注比赛，谢谢！	1205	-1	周日蹴鞠活动公告	32095
#181	0	0	35476	0	808000	88	0	0	0	0	0	4	60	#{MDW_20080317_01}	240	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	周六蹴鞠活动预告	35495
#182	0	0	35512	0	808000	75	0	0	0	0	0	4	120	#P横扫牡丹碗蹴鞠大赛本月最为关键的一场比赛即将在#Y今天下午19点整#P拉开帷幕！请各路英雄组织队伍，厉兵秣马，领双备药，准备参赛！	840	60	#P蹴鞠大赛本月最为关键的一场比赛将在#Y19点整#P拉开帷幕！请各路英雄组织队伍，厉兵秣马，领双备药，准备参赛！	960	30	#P蹴鞠大赛横扫牡丹碗活动已经开始！请大家到#G洛阳城端王府[204，57]#P找到#Y童贯#P大人、#G大理[282，94]#Y夏青青#P、#G苏州[187，147]#Y于倩倩#P参加比赛！	1140	30	#P蹴鞠大赛即将在今天晚上#Y23点#P结束本日的比赛，请各路英雄抓紧时间清场了！	1200	5	#P蹴鞠大赛本日比赛到此结束，请各路英雄下个月再来关注比赛，谢谢！	1205	-1	周日蹴鞠活动公告	35595
#183	1	0	25700	39	50058	1440	0	0	0	0	0	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	中秋节玉兔下凡	27300
184	0	1	54	186	808120	0	0	0	0	0	0	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	玄武岛雷麟雏凤	-1
185	0	1	54	186	808000	0	0	0	0	0	0	4	30	#{XXWD_8815_06}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	玄武岛雷麟雏凤	56
186	0	1	34	0	808000	0	0	0	0	0	0	4	30	#P新一轮的#G楼兰寻宝活动#P即将于#G11：30#P开始，请各位玩家做好准备。所有等级达到#G75级#P，心法等级达到#G40级#P的玩家，只要组成#G3人或以上#P的队伍，找到#G楼兰（162，75）金久灵#P就可以参加。	170	5	#G楼兰寻宝活动#P即将于#G11：30#P开始，请到#G楼兰（162，75）#P找到#G金久灵#P报名即可参加。所有等级达到#G75级#P，心法等级达到#G40级#P的玩家，只要组成#G3人或以上#P的队伍就可以参加。	180	20	#G楼兰寻宝活动#P已经开始了，请到#G楼兰（162，75）#P找到#G金久灵#P报名即可参加。	350	5	#P今天的#G楼兰寻宝活动#P将于#G14：30#P结束，请各位玩家抓紧时间。	359	1	#P今天的#G楼兰寻宝活动#P已经结束，感谢各位的参与。欢迎您明天再来！	360	-1	楼兰寻宝	95
187	0	1	74	186	808120	0	0	0	0	0	0	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	玄武岛雷麟雏凤	-1
188	0	1	76	186	808120	0	0	0	0	0	0	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	玄武岛雷麟雏凤	-1
189	0	1	74	186	808000	0	0	0	0	0	0	4	30	#{XXWD_8815_06}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	玄武岛雷麟雏凤	76
190	0	1	76	186	808000	0	0	0	0	0	0	4	30	#{XXWD_8815_06}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	玄武岛雷麟雏凤	78
#191	0	2	76	0	808041	0	0	0	0	0	0	4	30	#{BHSJ_081014_01}	50	15	#{BHSJ_081014_30}	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	帮会群体收集	95
192	1	0	2441	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_01}	649	6	#{BCW_20080317_01}	660	60	#{BCW_20080317_02}	670	60	-1	675	5	#{BCW_20080317_03}	679	-1	春节联欢晚会	2488
193	1	0	2541	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_04}	649	6	#{BCW_20080317_04}	660	60	#{BCW_20080317_05}	670	60	-1	675	5	#{BCW_20080317_03}	679	-1	春节联欢晚会	2588
194	1	0	2641	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_04}	649	6	#{BCW_20080317_04}	660	60	#{BCW_20080317_05}	670	60	-1	675	5	#{BCW_20080317_03}	679	-1	春节联欢晚会	2688
195	1	0	2741	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_04}	649	6	#{BCW_20080317_04}	660	60	#{BCW_20080317_05}	670	60	-1	675	5	#{BCW_20080317_03}	679	-1	春节联欢晚会	2788
196	1	0	2841	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_04}	649	6	#{BCW_20080317_04}	660	60	#{BCW_20080317_05}	670	60	-1	675	5	#{BCW_20080317_03}	679	-1	春节联欢晚会	2888
197	1	0	2941	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_04}	649	6	#{BCW_20080317_04}	660	60	#{BCW_20080317_05}	670	60	-1	675	5	#{BCW_20080317_03}	679	-1	春节联欢晚会	2988
198	1	0	3041	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_04}	649	6	#{BCW_20080317_04}	660	60	#{BCW_20080317_05}	670	60	-1	675	5	#{BCW_20080317_06}	679	-1	春节联欢晚会	3088
199	0	1	85	0	50030	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	08BOSS春晚	95
200	1	1	45	-1	808123	50	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	棋局休息室之珍珑之光	94
201	1	0	35937	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	门派贺贴	35995
202	1	0	36037	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	门派贺贴	36095
203	1	0	36137	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	门派贺贴	36195
204	1	0	36237	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	门派贺贴	36295
205	1	0	36337	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	门派贺贴	36395
206	1	0	36437	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	门派贺贴	36495
207	1	0	36537	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	门派贺贴	36595
208	1	0	37	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	门派贺贴	95
209	1	0	137	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	门派贺贴	195
210	1	0	237	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	门派贺贴	295
211	1	0	337	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	门派贺贴	395
212	1	0	437	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	门派贺贴	495
213	1	0	537	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	门派贺贴	595
214	1	0	637	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	门派贺贴	695
215	1	0	3940	0	808000	48	0	0	0	0	0	4	120	#G2月9日至2月15日#P期间，凡达到#G10级#P的朋友每天可以到#G大理(159，144)、苏州（175，163）、洛阳（164，135）灯笼#P处参加一次#Y灯谜活动#P，有好礼等你拿，赶快行动吧！	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	灯谜	3995
216	1	0	4040	0	808000	48	0	0	0	0	0	4	120	#G2月9日至2月15日#P期间，凡达到#G10级#P的朋友每天可以到#G大理(159，144)、苏州（175，163）、洛阳（164，135）灯笼#P处参加一次#Y灯谜活动#P，有好礼等你拿，赶快行动吧！	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	灯谜	4095
217	1	0	4140	0	808000	48	0	0	0	0	0	4	120	#G2月9日至2月15日#P期间，凡达到#G10级#P的朋友每天可以到#G大理(159，144)、苏州（175，163）、洛阳（164，135）灯笼#P处参加一次#Y灯谜活动#P，有好礼等你拿，赶快行动吧！	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	灯谜	4195
218	1	0	4240	0	808000	48	0	0	0	0	0	4	120	#G2月9日至2月15日#P期间，凡达到#G10级#P的朋友每天可以到#G大理(159，144)、苏州（175，163）、洛阳（164，135）灯笼#P处参加一次#Y灯谜活动#P，有好礼等你拿，赶快行动吧！	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	灯谜	4295
219	1	0	4340	0	808000	48	0	0	0	0	0	4	120	#G2月9日至2月15日#P期间，凡达到#G10级#P的朋友每天可以到#G大理(159，144)、苏州（175，163）、洛阳（164，135）灯笼#P处参加一次#Y灯谜活动#P，有好礼等你拿，赶快行动吧！	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	灯谜	4395
220	1	0	4440	0	808000	48	0	0	0	0	0	4	120	#G2月9日至2月15日#P期间，凡达到#G10级#P的朋友每天可以到#G大理(159，144)、苏州（175，163）、洛阳（164，135）灯笼#P处参加一次#Y灯谜活动#P，有好礼等你拿，赶快行动吧！	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	灯谜	4495
221	1	0	4540	0	808000	48	0	0	0	0	0	4	120	#G2月9日至2月15日#P期间，凡达到#G10级#P的朋友每天可以到#G大理(159，144)、苏州（175，163）、洛阳（164，135）灯笼#P处参加一次#Y灯谜活动#P，有好礼等你拿，赶快行动吧！	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	灯谜	4595
222	1	1	0	158	808106	95	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	闪电狗	95
223	1	0	8676	0	808000	88	0	0	0	0	0	4	60	#{MDW_20080317_01}	240	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	周六蹴鞠活动预告	8695
224	1	0	8712	0	808000	75	0	0	0	0	0	4	120	#P横扫牡丹碗蹴鞠大赛本月最为关键的一场比赛即将在#Y今天下午19点整#P拉开帷幕！请各路英雄组织队伍，厉兵秣马，领双备药，准备参赛！	840	60	#P蹴鞠大赛本月最为关键的一场比赛将在#Y19点整#P拉开帷幕！请各路英雄组织队伍，厉兵秣马，领双备药，准备参赛！	960	30	#P蹴鞠大赛横扫牡丹腕活动已经开始！请大家到#G洛阳城端王府[204，57]#P找到#Y童贯#P大人、#G大理[282，94]#Y夏青青#P、#G苏州[187，147]#Y于倩倩#P参加比赛！	1140	30	#P蹴鞠大赛即将在今天晚上#Y23点#P结束本日的比赛，请各路英雄抓紧时间清场了！	1200	5	#P蹴鞠大赛本日比赛到此结束，请各路英雄下个月再来参加比赛，谢谢！	1205	-1	周日蹴鞠活动公告	8795
225	1	1	2	0	808076	88	0	0	0	0	0	4	240	#{TLXQC_090629_2}	1438	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	香港60-85期间重开天龙向前冲	95
226	1	1	2	0	808076	88	0	0	0	0	0	4	240	#{TLXQC_090629_3}	1438	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	香港60-85期间重开天龙向前冲结束公告	95
227	1	1	76	0	808076	88	0	0	0	0	0	4	60	#P横扫牡丹碗蹴鞠大赛本月最为关键的一场比赛即将在#Y明天下午19点整#P拉开帷幕！请各路英雄组织队伍，厉兵秣马，领双备药，准备参赛！	240	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	香港加开蹴鞠活动预告	95
228	1	1	12	0	808076	75	0	0	0	0	0	4	120	#cff99cc横扫牡丹碗蹴鞠大赛本月最为关键的一场比赛即将在#Y今天下午19点整#cff99cc拉开帷幕！请各路英雄组织队伍，厉兵秣马，领双备药，准备参赛！	840	60	#cff99cc蹴鞠大赛本月最为关键的一场比赛将在#Y19点整#cff99cc拉开帷幕！请各路英雄组织队伍，招兵买马，领双备药，准备参赛！	960	60	#cff99cc蹴鞠大赛横扫牡丹碗活动已经开始！请大家到#G洛阳城端王府[204，57]#cff99cc找到#Y童贯#cff99cc大人、#G大理[282，94]#Y夏青青#cff99cc、#G苏州[187，147]#Y于倩倩#cff99cc参加比赛！	1140	30	#cff99cc蹴鞠大赛即将在今天晚上#Y23点#cff99cc结束本日的比赛，请各路英雄抓紧时间清场了！	1200	5	#cff99cc蹴鞠大赛本日比赛到此结束，请各路英雄关注稍后的赛事，谢谢！	1205	-1	香港加开蹴鞠活动公告	95
