INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
131	焚仙	5	-1	-1	-1	-1	9	27	19	399	35	444	100	2922	-1	814	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
132	啸天	5	-1	-1	-1	-1	15	27	9	27	36	148	100	2923	-1	815	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
133	诛魔	5	-1	-1	-1	-1	12	27	6	27	43	42	100	2924	-1	816	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
134	碧神	5	-1	-1	-1	-1	6	27	12	27	45	42	100	2925	-1	817	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
135	骨灵	5	-1	-1	-1	-1	15	27	26	399	0	4509	100	2926	-1	818	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
136	天隐	5	-1	-1	-1	-1	6	27	19	399	37	7	100	2927	-1	819	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
137	仙逸	5	-1	-1	-1	-1	9	27	15	27	3	2320	100	2928	-1	820	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
138	乌日	5	-1	-1	-1	-1	19	399	26	399	48	15	100	2929	-1	821	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
139	秦武	5	-1	-1	-1	-1	29	318	26	320	3	1865	0	3623	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
140	秦魂	5	-1	-1	-1	-1	29	356	26	358	3	2082	0	4045	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
141	秦武	5	-1	-1	-1	-1	22	318	19	320	3	1865	0	3623	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
142	秦魂	5	-1	-1	-1	-1	22	356	19	358	3	2082	0	4045	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
143	明月	4	-1	-1	-1	-1	43	31	26	290	18	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
144	碧天	4	-1	-1	-1	-1	42	31	19	290	18	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
145	渡泸	4	-1	-1	-1	-1	43	31	19	290	18	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
146	倚楼	4	-1	-1	-1	-1	46	17	35	322	18	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
147	玉骨	4	-1	-1	-1	-1	44	34	26	328	37	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
148	尘拂	4	-1	-1	-1	-1	44	34	19	328	37	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
149	香焚	4	-1	-1	-1	-1	42	35	26	328	37	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
150	琴横	4	-1	-1	-1	-1	44	34	22	326	37	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
151	雕阑	5	-1	-1	-1	-1	43	38	44	38	26	365	27	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
152	太阴	5	-1	-1	-1	-1	42	38	44	38	19	365	20	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
153	银筝	5	-1	-1	-1	-1	44	38	42	38	26	365	30	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
154	恨天	5	-1	-1	-1	-1	44	38	22	363	29	363	23	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
155	骠骑青铜套	7	-1	-1	-1	-1	42	13	35	129	19	119	0	1346	36	43	37	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
156	骠骑白银套	7	-1	-1	-1	-1	42	21	35	213	19	194	0	2189	36	71	37	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
157	骠骑黄金套	7	-1	-1	-1	-1	42	28	35	297	19	268	0	3033	36	99	37	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
158	骠骑白金套	7	-1	-1	-1	-1	42	36	35	381	19	343	0	3876	36	127	37	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
159	骠骑粗布套	7	-1	-1	-1	-1	43	13	35	129	26	119	3	695	36	43	37	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
160	骠骑绫罗套	7	-1	-1	-1	-1	43	21	35	213	26	194	3	1128	36	71	37	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
161	骠骑金丝套	7	-1	-1	-1	-1	43	28	35	297	26	268	3	1562	36	99	37	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
162	骠骑雕龙套	7	-1	-1	-1	-1	43	36	35	381	26	343	3	1995	36	127	37	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
163	无忧(海外)	5	-1	-1	-1	-1	3	478	0	924	37	2	36	36	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
164	碧柳	3	-1	-1	-1	-1	26	48	46	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
165	青荷	3	-1	-1	-1	-1	44	9	36	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
166	逝水	4	-1	-1	-1	-1	22	121	48	2	37	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
167	映月	3	-1	-1	-1	-1	43	17	44	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
168	灿星	4	-1	-1	-1	-1	26	197	13	2	48	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
169	雷袭	5	-1	-1	-1	-1	26	235	12	5	37	5	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
170	翔空	4	-1	-1	-1	-1	43	29	44	28	48	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
171	寒霜	5	-1	-1	-1	-1	44	32	26	309	22	307	27	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
172	玄宇	6	-1	-1	-1	-1	26	346	47	6	0	3919	37	6	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
173	血刃	4	-1	-1	-1	-1	35	427	36	143	48	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
174	怒缨	4	-1	-1	-1	-1	26	384	44	40	48	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
175	锐锋	5	-1	-1	-1	-1	44	40	46	22	43	40	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
176	斗转	5	-1	-1	-1	-1	12	27	26	399	44	42	100	2967	-1	1209	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
177	无忧	5	-1	-1	-1	-1	22	99	29	99	36	36	35	108	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
178	潇遐	4	-1	-1	-1	-1	0	1135	19	100	26	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
180	初尘	4	-1	-1	-1	-1	0	1135	19	100	26	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
181	畅游迎宾	4	-1	-1	-1	-1	0	1135	19	100	26	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
182	重楼	3	-1	-1	-1	-1	1	50	38	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
183	海外新程	5	-1	-1	-1	-1	22	99	29	99	36	36	35	108	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
184	冰凝风寒	5	-1	-1	-1	-1	6	28	35	546	44	34	100	2973	-1	1287	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
185	火炽焚焰	5	-1	-1	-1	-1	9	28	35	546	44	34	100	2974	-1	1288	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
186	玄光雷煞	5	-1	-1	-1	-1	12	28	35	546	44	34	100	2975	-1	1289	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
187	毒影瘴华	5	-1	-1	-1	-1	15	28	35	546	44	34	100	2976	-1	1290	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
188	冰粹影月	5	-1	-1	-1	-1	6	32	35	609	44	38	100	2977	-1	1291	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
189	火映烈阳	5	-1	-1	-1	-1	9	32	35	609	44	38	100	2978	-1	1292	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
190	玄明耀辰	5	-1	-1	-1	-1	12	32	35	609	44	38	100	2979	-1	1293	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
191	毒冥黯灭	5	-1	-1	-1	-1	15	32	35	609	44	38	100	2980	-1	1294	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
192	翔龙	4	-1	-1	-1	-1	19	100	26	100	48	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
193	雷霆套	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	15	27	15	37	100	39	5	48	1200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
194	通天套	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	22	27	22	37	300	39	15	48	2500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
195	星辰套	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	35	27	35	37	1000	39	25	48	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
