INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	STRING	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
1018030	101	10	0	1	0	1	62	35	段誉任务	    将段誉的问询信交给苏州城的公冶干#{_INFOAIM133,70,1,公冶干}。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    誉儿最近不知什么原因茶饭不思，这封信烦劳你送给苏州城的公冶干，本王将不胜感激。	1	#{RW_20080317_176}	    辛苦了，%R的奔波劳顿我一定转告犬子。			2	段正淳		公冶干	0	20	90	-1	-1	-1	0	0	95	1	你和段誉的关系上升了1点。	2	你和段誉的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											1	40004359	1	1													
1018031	101	10	0	1	0	1	62	35	段誉任务	    将段誉的问询信交给苏州城的阿碧#{_INFOAIM128,74,1,阿碧}。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    誉儿最近不知什么原因茶饭不思，这封信烦劳你送给苏州城的阿碧，本王将不胜感激。	1	#{RW_20080317_176}	    辛苦了，%R的奔波劳顿我一定转告犬子。			2	段正淳		阿碧	0	21	80	-1	-1	-1	0	0	95	1	你和段誉的关系上升了1点。	2	你和段誉的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											1	40004359	1	1													
1018032	101	10	0	1	0	1	62	35	段誉任务	    将段誉的问询信交给苏州城的王夫人#{_INFOAIM94,177,1,王夫人}。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    誉儿最近不知什么原因茶饭不思，这封信烦劳你送给苏州城的王夫人，本王将不胜感激。	1	#{RW_20080317_176}	    辛苦了，%R的奔波劳顿我一定转告犬子。			2	段正淳		王夫人	0	22	90	-1	-1	-1	0	0	95	1	你和段誉的关系上升了1点。	2	你和段誉的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											1	40004359	1	1													
1018033	101	10	0	1	0	1	62	35	段誉任务	    将段誉的问询信交给苏州城的朱丹臣#{_INFOAIM160,72,1,朱丹臣}。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    誉儿最近不知什么原因茶饭不思，这封信烦劳你送给苏州城的朱丹臣，本王将不胜感激。	1	#{RW_20080317_176}	    辛苦了，%R的奔波劳顿我一定转告犬子。			2	段正淳		朱丹臣	0	23	80	-1	-1	-1	0	0	95	1	你和段誉的关系上升了1点。	2	你和段誉的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											1	40004359	1	1													
##萧峰剧情循环																																																																															
1018050	101	10	0	1	0	1	118	62	萧峰任务	    将致丐帮信件送到%n的手中。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    奉南院大王之命要去找%n送一封信，本官公务在身，如果你能帮我，我回禀萧大王之后自有你的好处。	1	#{RW_20080317_192}	#{RW_20080317_180}			0	耶律大石		75	1	24;25;26;27	40	-1	-1	-1	0	0	99	1	你和萧峰的关系上升了1点。	2	你和萧峰的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											1	40004388	1	1													
1018051	101	10	0	1	0	1	118	62	萧峰任务	    将致丐帮信件送到%n的手中。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    奉南院大王之命要去找%n送一封信，本官公务在身，如果你能帮我，我回禀萧大王之后自有你的好处。	1	#{RW_20080317_192}	#{RW_20080317_180}			0	耶律大石		76	1	24;25;26;27	50	-1	-1	-1	0	0	99	1	你和萧峰的关系上升了1点。	2	你和萧峰的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											1	40004388	1	1													
1018052	101	10	0	1	0	1	118	62	萧峰任务	    将致丐帮信件送到%n的手中。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    奉南院大王之命要去找%n送一封信，本官公务在身，如果你能帮我，我回禀萧大王之后自有你的好处。	1	#{RW_20080317_192}	#{RW_20080317_180}			0	耶律大石		77	1	24;25;26;27	60	-1	-1	-1	0	0	99	1	你和萧峰的关系上升了1点。	2	你和萧峰的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											1	40004388	1	1													
1018053	101	10	0	1	0	1	118	62	萧峰任务	    将致丐帮信件送到%n的手中。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    奉南院大王之命要去找%n送一封信，本官公务在身，如果你能帮我，我回禀萧大王之后自有你的好处。	1	#{RW_20080317_192}	#{RW_20080317_180}			0	耶律大石		78	1	24;25;26;27	70	-1	-1	-1	0	0	99	1	你和萧峰的关系上升了1点。	2	你和萧峰的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											1	40004388	1	1													
1018054	101	10	0	1	0	1	118	62	萧峰任务	    将致丐帮信件送到%n的手中。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    奉南院大王之命要去找%n送一封信，本官公务在身，如果你能帮我，我回禀萧大王之后自有你的好处。	1	#{RW_20080317_192}	#{RW_20080317_180}			0	耶律大石		79	1	24;25;26;27	80	-1	-1	-1	0	0	99	1	你和萧峰的关系上升了1点。	2	你和萧峰的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											1	40004388	1	1													
1018055	101	10	0	1	0	1	118	62	萧峰任务	    将致丐帮信件送到%n的手中。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    奉南院大王之命要去找%n送一封信，本官公务在身，如果你能帮我，我回禀萧大王之后自有你的好处。	1	#{RW_20080317_192}	#{RW_20080317_180}			0	耶律大石		80	1	24;25;26;27	90	-1	-1	-1	0	0	99	1	你和萧峰的关系上升了1点。	2	你和萧峰的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											1	40004388	1	1													
1018056	101	10	0	1	0	1	118	62	萧峰任务	    将萧峰的私函送到大理的段正淳#{_INFOAIM63,36,2,段正淳}的手中。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    奉南院大王之命要去找%n送一封信，本官公务在身，如果你能帮我，我回禀萧大王之后自有你的好处。	1	#{RW_20080317_192}	#{RW_20080317_180}			0	耶律大石		段正淳	0	28	40	-1	-1	-1	0	0	99	1	你和萧峰的关系上升了1点。	2	你和萧峰的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											1	40004389	1	1													
1018057	101	10	0	1	0	1	118	62	萧峰任务	    将萧峰的私函送到大理的段正淳#{_INFOAIM63,36,2,段正淳}的手中。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    奉南院大王之命要去找%n送一封信，本官公务在身，如果你能帮我，我回禀萧大王之后自有你的好处。	1	#{RW_20080317_192}	#{RW_20080317_180}			0	耶律大石		段正淳	0	28	50	-1	-1	-1	0	0	99	1	你和萧峰的关系上升了1点。	2	你和萧峰的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											1	40004389	1	1													
1018058	101	10	0	1	0	1	118	62	萧峰任务	    将萧峰的私函送到大理的段正淳#{_INFOAIM63,36,2,段正淳}的手中。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    奉南院大王之命要去找%n送一封信，本官公务在身，如果你能帮我，我回禀萧大王之后自有你的好处。	1	#{RW_20080317_192}	#{RW_20080317_180}			0	耶律大石		段正淳	0	28	60	-1	-1	-1	0	0	99	1	你和萧峰的关系上升了1点。	2	你和萧峰的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											1	40004389	1	1													
1018059	101	10	0	1	0	1	118	62	萧峰任务	    将萧峰的私函送到大理的段正淳#{_INFOAIM63,36,2,段正淳}的手中。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    奉南院大王之命要去找%n送一封信，本官公务在身，如果你能帮我，我回禀萧大王之后自有你的好处。	1	#{RW_20080317_192}	#{RW_20080317_180}			0	耶律大石		段正淳	0	28	70	-1	-1	-1	0	0	99	1	你和萧峰的关系上升了1点。	2	你和萧峰的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											1	40004389	1	1													
1018060	101	10	0	1	0	1	118	62	萧峰任务	    将萧峰的私函送到大理的段正淳#{_INFOAIM63,36,2,段正淳}的手中。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    奉南院大王之命要去找%n送一封信，本官公务在身，如果你能帮我，我回禀萧大王之后自有你的好处。	1	#{RW_20080317_192}	#{RW_20080317_180}			0	耶律大石		段正淳	0	28	80	-1	-1	-1	0	0	99	1	你和萧峰的关系上升了1点。	2	你和萧峰的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											1	40004389	1	1													
1018061	101	10	0	1	0	1	118	62	萧峰任务	    将萧峰的私函送到大理的段正淳#{_INFOAIM63,36,2,段正淳}的手中。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    奉南院大王之命要去找%n送一封信，本官公务在身，如果你能帮我，我回禀萧大王之后自有你的好处。	1	#{RW_20080317_192}	#{RW_20080317_180}			0	耶律大石		段正淳	0	28	90	-1	-1	-1	0	0	99	1	你和萧峰的关系上升了1点。	2	你和萧峰的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											1	40004389	1	1													
1018062	101	10	0	1	0	1	118	62	萧峰任务	    将萧峰的私函送到镜湖的阮星竹#{_INFOAIM108,140,5,阮星竹}的手中。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    奉南院大王之命要去找%n送一封信，本官公务在身，如果你能帮我，我回禀萧大王之后自有你的好处。	1	#{RW_20080317_192}	#{RW_20080317_180}			0	耶律大石		阮星竹	0	30	50	-1	-1	-1	0	0	99	1	你和萧峰的关系上升了1点。	2	你和萧峰的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											1	40004389	1	1													
1018063	101	10	0	1	0	1	118	62	萧峰任务	    将萧峰的私函送到镜湖的阮星竹#{_INFOAIM108,140,5,阮星竹}的手中。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    奉南院大王之命要去找%n送一封信，本官公务在身，如果你能帮我，我回禀萧大王之后自有你的好处。	1	#{RW_20080317_192}	#{RW_20080317_180}			0	耶律大石		阮星竹	0	30	60	-1	-1	-1	0	0	99	1	你和萧峰的关系上升了1点。	2	你和萧峰的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											1	40004389	1	1													
1018064	101	10	0	1	0	1	118	62	萧峰任务	    将萧峰的私函送到镜湖的阮星竹#{_INFOAIM108,140,5,阮星竹}的手中。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    奉南院大王之命要去找%n送一封信，本官公务在身，如果你能帮我，我回禀萧大王之后自有你的好处。	1	#{RW_20080317_192}	#{RW_20080317_180}			0	耶律大石		阮星竹	0	30	70	-1	-1	-1	0	0	99	1	你和萧峰的关系上升了1点。	2	你和萧峰的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											1	40004389	1	1													
1018065	101	10	0	1	0	1	118	62	萧峰任务	    将萧峰的私函送到镜湖的阮星竹#{_INFOAIM108,140,5,阮星竹}的手中。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    奉南院大王之命要去找%n送一封信，本官公务在身，如果你能帮我，我回禀萧大王之后自有你的好处。	1	#{RW_20080317_192}	#{RW_20080317_180}			0	耶律大石		阮星竹	0	30	80	-1	-1	-1	0	0	99	1	你和萧峰的关系上升了1点。	2	你和萧峰的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											1	40004389	1	1													
1018066	101	10	0	1	0	1	118	62	萧峰任务	    将萧峰的私函送到镜湖的阮星竹#{_INFOAIM108,140,5,阮星竹}的手中。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    奉南院大王之命要去找%n送一封信，本官公务在身，如果你能帮我，我回禀萧大王之后自有你的好处。	1	#{RW_20080317_192}	#{RW_20080317_180}			0	耶律大石		阮星竹	0	30	90	-1	-1	-1	0	0	99	1	你和萧峰的关系上升了1点。	2	你和萧峰的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											1	40004389	1	1													
1018067	101	10	0	1	0	1	118	62	萧峰任务	    将萧峰的私函送到洛阳的阿紫#{_INFOAIM59,83,0,阿紫}的手中。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    奉南院大王之命要去找%n送一封信，本官公务在身，如果你能帮我，我回禀萧大王之后自有你的好处。	1	#{RW_20080317_192}	#{RW_20080317_180}			0	耶律大石		阿紫	0	31	60	-1	-1	-1	0	0	99	1	你和萧峰的关系上升了1点。	2	你和萧峰的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											1	40004389	1	1													
1018068	101	10	0	1	0	1	118	62	萧峰任务	    将萧峰的私函送到洛阳的阿紫#{_INFOAIM59,83,0,阿紫}的手中。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    奉南院大王之命要去找%n送一封信，本官公务在身，如果你能帮我，我回禀萧大王之后自有你的好处。	1	#{RW_20080317_192}	#{RW_20080317_180}			0	耶律大石		阿紫	0	31	70	-1	-1	-1	0	0	99	1	你和萧峰的关系上升了1点。	2	你和萧峰的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											1	40004389	1	1													
1018069	101	10	0	1	0	1	118	62	萧峰任务	    将萧峰的私函送到洛阳的阿紫#{_INFOAIM59,83,0,阿紫}的手中。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    奉南院大王之命要去找%n送一封信，本官公务在身，如果你能帮我，我回禀萧大王之后自有你的好处。	1	#{RW_20080317_192}	#{RW_20080317_180}			0	耶律大石		阿紫	0	31	80	-1	-1	-1	0	0	99	1	你和萧峰的关系上升了1点。	2	你和萧峰的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											1	40004389	1	1													
1018070	101	10	0	1	0	1	118	62	萧峰任务	    将萧峰的私函送到洛阳的阿紫#{_INFOAIM59,83,0,阿紫}的手中。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    奉南院大王之命要去找%n送一封信，本官公务在身，如果你能帮我，我回禀萧大王之后自有你的好处。	1	#{RW_20080317_192}	#{RW_20080317_180}			0	耶律大石		阿紫	0	31	90	-1	-1	-1	0	0	99	1	你和萧峰的关系上升了1点。	2	你和萧峰的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											1	40004389	1	1													
1018071	101	10	0	1	0	1	118	62	萧峰任务	    将身世之谜疑信送到洛阳的智光大师#{_INFOAIM77,72,0,智光大师}的手中。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    奉南院大王之命要去找%n送一封信，本官公务在身，如果你能帮我，我回禀萧大王之后自有你的好处。	1	#{RW_20080317_192}	#{RW_20080317_180}			0	耶律大石		智光大师	0	35	60	-1	-1	-1	0	0	99	1	你和萧峰的关系上升了1点。	2	你和萧峰的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											1	40004390	1	1													
1018072	101	10	0	1	0	1	118	62	萧峰任务	    将身世之谜疑信送到洛阳的智光大师#{_INFOAIM77,72,0,智光大师}的手中。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    奉南院大王之命要去找%n送一封信，本官公务在身，如果你能帮我，我回禀萧大王之后自有你的好处。	1	#{RW_20080317_192}	#{RW_20080317_180}			0	耶律大石		智光大师	0	35	70	-1	-1	-1	0	0	99	1	你和萧峰的关系上升了1点。	2	你和萧峰的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											1	40004390	1	1													
1018073	101	10	0	1	0	1	118	62	萧峰任务	    将身世之谜疑信送到洛阳的智光大师#{_INFOAIM77,72,0,智光大师}的手中。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    奉南院大王之命要去找%n送一封信，本官公务在身，如果你能帮我，我回禀萧大王之后自有你的好处。	1	#{RW_20080317_192}	#{RW_20080317_180}			0	耶律大石		智光大师	0	35	80	-1	-1	-1	0	0	99	1	你和萧峰的关系上升了1点。	2	你和萧峰的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											1	40004390	1	1													
1018074	101	10	0	1	0	1	118	62	萧峰任务	    将身世之谜疑信送到洛阳的智光大师#{_INFOAIM77,72,0,智光大师}的手中。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    奉南院大王之命要去找%n送一封信，本官公务在身，如果你能帮我，我回禀萧大王之后自有你的好处。	1	#{RW_20080317_192}	#{RW_20080317_180}			0	耶律大石		智光大师	0	35	90	-1	-1	-1	0	0	99	1	你和萧峰的关系上升了1点。	2	你和萧峰的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											1	40004390	1	1													
1018075	101	10	0	1	0	1	118	62	萧峰任务	    将身世之谜疑信送到洛阳的康敏#{_INFOAIM230,215,0,康敏}的手中。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    奉南院大王之命要去找%n送一封信，本官公务在身，如果你能帮我，我回禀萧大王之后自有你的好处。	1	#{RW_20080317_192}	#{RW_20080317_180}			0	耶律大石		康敏	0	38	70	-1	-1	-1	0	0	99	1	你和萧峰的关系上升了1点。	2	你和萧峰的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											1	40004390	1	1													
1018076	101	10	0	1	0	1	118	62	萧峰任务	    将身世之谜疑信送到洛阳的康敏#{_INFOAIM230,215,0,康敏}的手中。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    奉南院大王之命要去找%n送一封信，本官公务在身，如果你能帮我，我回禀萧大王之后自有你的好处。	1	#{RW_20080317_192}	#{RW_20080317_180}			0	耶律大石		康敏	0	38	80	-1	-1	-1	0	0	99	1	你和萧峰的关系上升了1点。	2	你和萧峰的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											1	40004390	1	1													
1018077	101	10	0	1	0	1	118	62	萧峰任务	    将身世之谜疑信送到洛阳的康敏#{_INFOAIM230,215,0,康敏}的手中。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    奉南院大王之命要去找%n送一封信，本官公务在身，如果你能帮我，我回禀萧大王之后自有你的好处。	1	#{RW_20080317_192}	#{RW_20080317_180}			0	耶律大石		康敏	0	38	90	-1	-1	-1	0	0	99	1	你和萧峰的关系上升了1点。	2	你和萧峰的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											1	40004390	1	1													
1018078	101	10	0	1	0	1	118	62	萧峰任务	    将身世之谜疑信送到洛阳的单正#{_INFOAIM230,176,0,单正}的手中。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    奉南院大王之命要去找%n送一封信，本官公务在身，如果你能帮我，我回禀萧大王之后自有你的好处。	1	#{RW_20080317_192}	#{RW_20080317_180}			0	耶律大石		单正	0	36	80	-1	-1	-1	0	0	99	1	你和萧峰的关系上升了1点。	2	你和萧峰的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											1	40004390	1	1													
1018079	101	10	0	1	0	1	118	62	萧峰任务	    将身世之谜疑信送到洛阳的单正#{_INFOAIM230,176,0,单正}的手中。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    奉南院大王之命要去找%n送一封信，本官公务在身，如果你能帮我，我回禀萧大王之后自有你的好处。	1	#{RW_20080317_192}	#{RW_20080317_180}			0	耶律大石		单正	0	36	90	-1	-1	-1	0	0	99	1	你和萧峰的关系上升了1点。	2	你和萧峰的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											1	40004390	1	1													
1018080	101	10	0	1	0	1	118	62	萧峰任务	    将身世之谜疑信送到洛阳的谭公#{_INFOAIM180,213,0,谭公}的手中。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    奉南院大王之命要去找%n送一封信，本官公务在身，如果你能帮我，我回禀萧大王之后自有你的好处。	1	#{RW_20080317_192}	#{RW_20080317_180}			0	耶律大石		谭公	0	33	80	-1	-1	-1	0	0	99	1	你和萧峰的关系上升了1点。	2	你和萧峰的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											1	40004390	1	1													
1018081	101	10	0	1	0	1	118	62	萧峰任务	    将身世之谜疑信送到洛阳的谭公#{_INFOAIM180,213,0,谭公}的手中。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    奉南院大王之命要去找%n送一封信，本官公务在身，如果你能帮我，我回禀萧大王之后自有你的好处。	1	#{RW_20080317_192}	#{RW_20080317_180}			0	耶律大石		谭公	0	33	90	-1	-1	-1	0	0	99	1	你和萧峰的关系上升了1点。	2	你和萧峰的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											1	40004390	1	1													
1018082	101	10	0	1	0	1	118	62	萧峰任务	    将身世之谜疑信送到洛阳的徐惊雷#{_INFOAIM210,201,0,徐惊雷}的手中。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    奉南院大王之命要去找%n送一封信，本官公务在身，如果你能帮我，我回禀萧大王之后自有你的好处。	1	#{RW_20080317_192}	#{RW_20080317_180}			0	耶律大石		徐惊雷	0	37	90	-1	-1	-1	0	0	99	1	你和萧峰的关系上升了1点。	2	你和萧峰的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											1	40004390	1	1													
1018083	101	10	0	1	0	1	118	62	萧峰任务	    将身世之谜疑信送到洛阳的谭婆#{_INFOAIM179,212,0,谭婆}的手中。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    奉南院大王之命要去找%n送一封信，本官公务在身，如果你能帮我，我回禀萧大王之后自有你的好处。	1	#{RW_20080317_192}	#{RW_20080317_180}			0	耶律大石		谭婆	0	34	90	-1	-1	-1	0	0	99	1	你和萧峰的关系上升了1点。	2	你和萧峰的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											1	40004390	1	1													
1018084	101	10	0	1	0	1	118	62	萧峰任务	    将身世之谜疑信送到洛阳的赵钱孙#{_INFOAIM86,89,0,赵钱孙}的手中。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    奉南院大王之命要去找%n送一封信，本官公务在身，如果你能帮我，我回禀萧大王之后自有你的好处。	1	#{RW_20080317_192}	#{RW_20080317_180}			0	耶律大石		赵钱孙	0	32	90	-1	-1	-1	0	0	99	1	你和萧峰的关系上升了1点。	2	你和萧峰的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											1	40004390	1	1													
#段延庆送信任务																																																																															
1018100	101	10	0	1	0	1	215	284	段延庆任务	    去找%n打听详细的情况。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情回圈任务。	    听云中鹤说，%n对段正明兄弟似乎颇有不满之辞，此人也许能为我所用。你能帮我打听一下详细情况吗？	1	#{RW_20080321_05}	#{RW_20080321_06}			2	段延庆		89	1	44	20	-1	-1	-1	0	0	94	1	你和段延庆的关系上升了1点。	2	你和段延庆的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																																											
1018101	101	10	0	1	0	1	215	284	段延庆任务	    去找%n打听详细的情况。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情回圈任务。	    听云中鹤说，%n对段正明兄弟似乎颇有不满之辞，此人也许能为我所用。你能帮我打听一下详细情况吗？	1	#{RW_20080321_05}	#{RW_20080321_06}			2	段延庆		90	1	44	30	-1	-1	-1	0	0	94	1	你和段延庆的关系上升了1点。	2	你和段延庆的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																																											
1018102	101	10	0	1	0	1	215	284	段延庆任务	    去找%n打听详细的情况。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情回圈任务。	    听云中鹤说，%n对段正明兄弟似乎颇有不满之辞，此人也许能为我所用。你能帮我打听一下详细情况吗？	1	#{RW_20080321_05}	#{RW_20080321_06}			2	段延庆		91	1	44	40	-1	-1	-1	0	0	94	1	你和段延庆的关系上升了1点。	2	你和段延庆的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																																											
1018103	101	10	0	1	0	1	215	284	段延庆任务	    去找%n打听详细的情况。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情回圈任务。	    听云中鹤说，%n对段正明兄弟似乎颇有不满之辞，此人也许能为我所用。你能帮我打听一下详细情况吗？	1	#{RW_20080321_05}	#{RW_20080321_06}			2	段延庆		92	1	44	50	-1	-1	-1	0	0	94	1	你和段延庆的关系上升了1点。	2	你和段延庆的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																																											
