INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
141	yanhuo_hunqing3	yanhuo02.wav	前置特效点	yanhuo_hunqing3	yanhuo02.wav	前置特效点	yanhuo_hunqing3	yanhuo02.wav	前置特效点	yanhuo_hunqing3	yanhuo02.wav	前置特效点	yanhuo_hunqing3	yanhuo02.wav	前置特效点			新增烟花特效8
142	yanhuo_hunqing4	yanhuo02.wav	前置特效点	yanhuo_hunqing4	yanhuo02.wav	前置特效点	yanhuo_hunqing4	yanhuo02.wav	前置特效点	yanhuo_hunqing4	yanhuo02.wav	前置特效点	yanhuo_hunqing4	yanhuo02.wav	前置特效点			新增烟花特效9
143	yanhuo_hunqing4_1	yanhuo02.wav	前置特效点	yanhuo_hunqing4_1	yanhuo02.wav	前置特效点	yanhuo_hunqing4_1	yanhuo02.wav	前置特效点	yanhuo_hunqing4_1	yanhuo02.wav	前置特效点	yanhuo_hunqing4_1	yanhuo02.wav	前置特效点			新增烟花特效10
144	g01_wd_zdo_sanweizhenhuo		身体受击点	g01_wd_zdo_sanweizhenhuo		身体受击点	g01_wd_zdo_sanweizhenhuo		身体受击点	g01_wd_zdo_sanweizhenhuo		身体受击点	g01_wd_zdo_sanweizhenhuo		身体受击点			火烧赤壁特效
145	g01_gb_tianxiawugou_01		身体受击点	g01_gb_tianxiawugou_01		身体受击点	g01_gb_tianxiawugou_01		身体受击点	g01_gb_tianxiawugou_01		身体受击点	g01_gb_tianxiawugou_01		身体受击点			千里横行
146	g01_gb_tianxiawugou_01		身体受击点	g01_gb_tianxiawugou_01		身体受击点	g01_gb_tianxiawugou_01		身体受击点	g01_gb_tianxiawugou_01		身体受击点	g01_gb_tianxiawugou_01		身体受击点			青龙出水
147	g01_wd_zdo_shenmenshisanjian		身体受击点	g01_wd_zdo_shenmenshisanjian		身体受击点	g01_wd_zdo_shenmenshisanjian		身体受击点	g01_wd_zdo_shenmenshisanjian		身体受击点	g01_wd_zdo_shenmenshisanjian		身体受击点			三味真火
148	all_em_bj00000		身体受击点	all_em_bj00000		身体受击点	all_em_bj00000		身体受击点	all_em_bj00000		身体受击点	all_em_bj00000		身体受击点			飘雪穿云（金顶绵掌）
149	g01_dl_zdo_yuqinguzong		身体受击点	g01_dl_zdo_yuqinguzong		身体受击点	g01_dl_zdo_yuqinguzong		身体受击点	g01_dl_zdo_yuqinguzong		身体受击点	g01_dl_zdo_yuqinguzong		身体受击点			欲擒故纵
150	g01_dl_zdo_wanyuechaozong		身体受击点	g01_dl_zdo_wanyuechaozong		身体受击点	g01_dl_zdo_wanyuechaozong		身体受击点	g01_dl_zdo_wanyuechaozong		身体受击点	g01_dl_zdo_wanyuechaozong		身体受击点			回风扶柳
151	a_y_xingxiu_zdo	Skills\Xx\Xx_蓝砂手_击中.wav	身体受击点	a_y_xingxiu_zdo	Skills\Xx\Xx_蓝砂手_击中.wav	身体受击点	a_y_xingxiu_zdo	Skills\Xx\Xx_蓝砂手_击中.wav	身体受击点	a_y_xingxiu_zdo	Skills\Xx\Xx_蓝砂手_击中.wav	身体受击点	a_y_xingxiu_zdo	Skills\Xx\Xx_蓝砂手_击中.wav	身体受击点			蓝砂手
152	a_y_xiaoyao_zdo	Skills\Weapon\sword_hit_light_2.wav	身体受击点	a_y_xiaoyao_zdo	Skills\Weapon\fan_hit_1.wav	身体受击点	a_y_xiaoyao_zdo	Skills\Weapon\sword_hit_light_3.wav	身体受击点	a_y_xiaoyao_zdo	Skills\Weapon\sword_hit_light_4.wav	身体受击点	a_y_xiaoyao_zdo	Skills\Weapon\sword_hit_light_4.wav	身体受击点			落英剑
153	a_y_emei_zdo	Skills\Em\Em_貂蝉拜月_击中.wav	身体受击点	a_y_emei_zdo	Skills\Em\Em_貂蝉拜月_击中.wav	身体受击点	a_y_emei_zdo	Skills\Em\Em_貂蝉拜月_击中.wav	身体受击点	a_y_emei_zdo	Skills\Em\Em_貂蝉拜月_击中.wav	身体受击点	a_y_emei_zdo	Skills\Em\Em_貂蝉拜月_击中.wav	身体受击点			貂蝉拜月
154	a_y_dali_zdo	Skills\Common\bullet_explode1.wav	身体受击点	a_y_dali_zdo	Skills\Common\bullet_explode1.wav	身体受击点	a_y_dali_zdo	Skills\Common\bullet_explode1.wav	身体受击点	a_y_dali_zdo	Skills\Common\bullet_explode1.wav	身体受击点	a_y_dali_zdo	Skills\Common\bullet_explode1.wav	身体受击点			正阳手
155	a_y_wudang_zdo	Skills\Wd\Wd_八卦掌_击中.wav	身体受击点	a_y_wudang_zdo	Skills\Wd\Wd_八卦掌_击中.wav	身体受击点	a_y_wudang_zdo	Skills\Wd\Wd_八卦掌_击中.wav	身体受击点	a_y_wudang_zdo	Skills\Wd\Wd_八卦掌_击中.wav	身体受击点	a_y_wudang_zdo	Skills\Wd\Wd_八卦掌_击中.wav	身体受击点			八卦掌
156	npc_shou_danwai		身体受击点	npc_shou_danwai		身体受击点	npc_shou_danwai		身体受击点	npc_shou_danwai		身体受击点	npc_shou_danwai		身体受击点			爪击
157	npc_zhanji_zdo		身体受击点	npc_zhanji_zdo		身体受击点	npc_zhanji_zdo		身体受击点	npc_zhanji_zdo		身体受击点	npc_zhanji_zdo		身体受击点			斩击
158	npc_zhangji_zdo		身体受击点	npc_zhangji_zdo		身体受击点	npc_zhangji_zdo		身体受击点	npc_zhangji_zdo		身体受击点	npc_zhangji_zdo		身体受击点			掌击
159	npc_tongji_zdo		身体受击点	npc_tongji_zdo		身体受击点	npc_tongji_zdo		身体受击点	npc_tongji_zdo		身体受击点	npc_tongji_zdo		身体受击点			痛击
160	g01_yipailiangsan_02		脚下光圈点	g01_yipailiangsan_02		脚下光圈点	g01_yipailiangsan_02		脚下光圈点	g01_yipailiangsan_02		脚下光圈点	g01_yipailiangsan_02		脚下光圈点			剧情攻击特效
161	隐身		脚下光圈点	隐身		脚下光圈点	隐身		脚下光圈点	隐身		脚下光圈点	隐身		脚下光圈点			剧情消失特效
162	g01_wd_zdo_tiangangbeidouzhen		身体受击点	g01_wd_zdo_tiangangbeidouzhen		身体受击点	g01_wd_zdo_tiangangbeidouzhen		身体受击点	g01_wd_zdo_tiangangbeidouzhen		身体受击点	g01_wd_zdo_tiangangbeidouzhen		身体受击点			真武七截阵
163	g01_wd_zdo_tianmafeipu	Skills\Wd\Wd_天马飞瀑_击中.wav	身体受击点	g01_wd_zdo_tianmafeipu	Skills\Wd\Wd_天马飞瀑_击中.wav	身体受击点	g01_wd_zdo_tianmafeipu	Skills\Wd\Wd_天马飞瀑_击中.wav	身体受击点	g01_wd_zdo_tianmafeipu	Skills\Wd\Wd_天马飞瀑_击中.wav	身体受击点	g01_wd_zdo_tianmafeipu	Skills\Wd\Wd_天马飞瀑_击中.wav	身体受击点			天马飞瀑
164	g01_wd_zdo_xianrenzhilu		身体受击点	g01_wd_zdo_xianrenzhilu		身体受击点	g01_wd_zdo_xianrenzhilu		身体受击点	g01_wd_zdo_xianrenzhilu		身体受击点	g01_wd_zdo_xianrenzhilu		身体受击点			仙人指路
165	g01_wd_zdo_rufengsibi		身体受击点	g01_wd_zdo_rufengsibi		身体受击点	g01_wd_zdo_rufengsibi		身体受击点	g01_wd_zdo_rufengsibi		身体受击点	g01_wd_zdo_rufengsibi		身体受击点			玉女穿梭
166	g01_wd_zdo_shenmenshisanjian		身体受击点	g01_wd_zdo_shenmenshisanjian		身体受击点	g01_wd_zdo_shenmenshisanjian		身体受击点	g01_wd_zdo_shenmenshisanjian		身体受击点	g01_wd_zdo_shenmenshisanjian		身体受击点			神门十三剑
167	g01_em_zdo_jiuyinbaiguzhua		身体受击点	g01_em_zdo_jiuyinbaiguzhua		身体受击点	g01_em_zdo_jiuyinbaiguzhua		身体受击点	g01_em_zdo_jiuyinbaiguzhua		身体受击点	g01_em_zdo_jiuyinbaiguzhua		身体受击点			西子捧心
168	g01_em_zdo_jindingmianzhang		身体受击点	g01_em_zdo_jindingmianzhang		身体受击点	g01_em_zdo_jindingmianzhang		身体受击点	g01_em_zdo_jindingmianzhang		身体受击点	g01_em_zdo_jindingmianzhang		身体受击点			障眼法
169	g01_xx_zdo_lianzhufushidu		身体受击点	g01_xx_zdo_lianzhufushidu		身体受击点	g01_xx_zdo_lianzhufushidu		身体受击点	g01_xx_zdo_lianzhufushidu		身体受击点	g01_xx_zdo_lianzhufushidu		身体受击点			连珠腐尸毒
170	g01_xx_jq_zdo_玄冥神掌		身体受击点	g01_xx_jq_zdo_玄冥神掌		身体受击点	g01_xx_jq_zdo_玄冥神掌		身体受击点	g01_xx_jq_zdo_玄冥神掌		身体受击点	g01_xx_jq_zdo_玄冥神掌		身体受击点			玄冥神掌
171	g01_xx_zdo_qingshezhang		身体受击点	g01_xx_zdo_qingshezhang		身体受击点	g01_xx_zdo_qingshezhang		身体受击点	g01_xx_zdo_qingshezhang		身体受击点	g01_xx_zdo_qingshezhang		身体受击点			青蛇掌
172	g01_xx_zdo_bingcanzhang		身体受击点	g01_xx_zdo_bingcanzhang		身体受击点	g01_xx_zdo_bingcanzhang		身体受击点	g01_xx_zdo_bingcanzhang		身体受击点	g01_xx_zdo_bingcanzhang		身体受击点			冰蚕掌
173	g01_xx_sf_zdo_化骨绵掌		身体受击点	g01_xx_sf_zdo_化骨绵掌		身体受击点	g01_xx_sf_zdo_化骨绵掌		身体受击点	g01_xx_sf_zdo_化骨绵掌		身体受击点	g01_xx_sf_zdo_化骨绵掌		身体受击点			化骨绵掌
174	g01_dl_zdo_kuxinzhi		身体受击点	g01_dl_zdo_kuxinzhi		身体受击点	g01_dl_zdo_kuxinzhi		身体受击点	g01_dl_zdo_kuxinzhi		身体受击点	g01_dl_zdo_kuxinzhi		身体受击点			雪拥蓝关
175	g01_dl_zdo_wanyuechaozong		身体受击点	g01_dl_zdo_wanyuechaozong		身体受击点	g01_dl_zdo_wanyuechaozong		身体受击点	g01_dl_zdo_wanyuechaozong		身体受击点	g01_dl_zdo_wanyuechaozong		身体受击点			万岳朝宗
176	g01_ts_zdo_shengsifu		身体受击点	g01_ts_zdo_shengsifu		身体受击点	g01_ts_zdo_shengsifu		身体受击点	g01_ts_zdo_shengsifu		身体受击点	g01_ts_zdo_shengsifu		身体受击点			寒梅怒放
177	g01_xy_sf_zdo_花开縻荼		身体受击点	g01_xy_sf_zdo_花开縻荼		身体受击点	g01_xy_sf_zdo_花开縻荼		身体受击点	g01_xy_sf_zdo_花开縻荼		身体受击点	g01_xy_sf_zdo_花开縻荼		身体受击点			弹指神通
178	g01_xy_sf_zdo_高山留水		身体受击点	g01_xy_sf_zdo_高山留水		身体受击点	g01_xy_sf_zdo_高山留水		身体受击点	g01_xy_sf_zdo_高山留水		身体受击点	g01_xy_sf_zdo_高山留水		身体受击点			潇湘夜雨
179	g01_xy_zdo_lingyanshibagong	Skills\Common\bullet_explode1.wav	身体受击点	g01_xy_zdo_lingyanshibagong	Skills\Common\bullet_explode1.wav	身体受击点	g01_xy_zdo_lingyanshibagong	Skills\Common\bullet_explode1.wav	身体受击点	g01_xy_zdo_lingyanshibagong	Skills\Common\bullet_explode1.wav	身体受击点	g01_xy_zdo_lingyanshibagong	Skills\Common\bullet_explode1.wav	身体受击点			溪山行旅
180	g01_xy_zdo_beimingshenquan		身体受击点	g01_xy_zdo_beimingshenquan		身体受击点	g01_xy_zdo_beimingshenquan		身体受击点	g01_xy_zdo_beimingshenquan		身体受击点	g01_xy_zdo_beimingshenquan		身体受击点			惊涛骇浪
181	npc_ren_danwai_zdo	Skills\Weapon\fist_hit_middle_2.wav	身体受击点	npc_ren_danwai_zdo	Skills\Weapon\fist_hit_middle_2.wav	身体受击点	npc_ren_danwai_zdo	Skills\Weapon\fist_hit_middle_2.wav	身体受击点	npc_ren_danwai_zdo	Skills\Weapon\fist_hit_middle_2.wav	身体受击点	npc_ren_danwai_zdo	Skills\Weapon\fist_hit_middle_2.wav	身体受击点			高级打击
182	npc_all_lianji_zdo	Skills\Common\explosion_1.wav	身体受击点	npc_all_lianji_zdo	Skills\Common\explosion_1.wav	身体受击点	npc_all_lianji_zdo	Skills\Common\explosion_1.wav	身体受击点	npc_all_lianji_zdo	Skills\Common\explosion_1.wav	身体受击点	npc_all_lianji_zdo	Skills\Common\explosion_1.wav	身体受击点			连击
183	npc_all_dubao_zdo	Skills\Common\poison_4.wav	身体受击点	npc_all_dubao_zdo	Skills\Common\poison_4.wav	身体受击点	npc_all_dubao_zdo	Skills\Common\poison_4.wav	身体受击点	npc_all_dubao_zdo	Skills\Common\poison_4.wav	身体受击点	npc_all_dubao_zdo	Skills\Common\poison_4.wav	身体受击点			毒爆
184	npc_all_danxuan_zdo	Skills\Common\lighting_1.wav	身体受击点	npc_all_danxuan_zdo	Skills\Common\lighting_1.wav	身体受击点	npc_all_danxuan_zdo	Skills\Common\lighting_1.wav	身体受击点	npc_all_danxuan_zdo	Skills\Common\lighting_1.wav	身体受击点	npc_all_danxuan_zdo	Skills\Common\lighting_1.wav	身体受击点			玄爆
185	g01_mj_zdo_yanlongzhan	Skills\Common\fire_explode_1.wav	身体受击点	g01_mj_zdo_yanlongzhan	Skills\Common\fire_explode_1.wav	身体受击点	g01_mj_zdo_yanlongzhan	Skills\Common\fire_explode_1.wav	身体受击点	g01_mj_zdo_yanlongzhan	Skills\Common\fire_explode_1.wav	身体受击点	g01_mj_zdo_yanlongzhan	Skills\Common\fire_explode_1.wav	身体受击点			火爆
186	npc_all_qunnei_zdo	Skills\Common\explosion_2.wav	身体受击点	npc_all_qunnei_zdo	Skills\Common\explosion_2.wav	身体受击点	npc_all_qunnei_zdo	Skills\Common\explosion_2.wav	身体受击点	npc_all_qunnei_zdo	Skills\Common\explosion_2.wav	身体受击点	npc_all_qunnei_zdo	Skills\Common\explosion_2.wav	身体受击点			群内
187	g01_sl_zdo_dalijingangzhang	Skills\Weapon\fist_hit_middle_2.wav	身体受击点	g01_sl_zdo_dalijingangzhang	Skills\Weapon\fist_hit_middle_2.wav	身体受击点	g01_sl_zdo_dalijingangzhang	Skills\Weapon\fist_hit_middle_2_late.wav	身体受击点	g01_sl_zdo_dalijingangzhang	Skills\Weapon\fist_hit_middle_2_late.wav	身体受击点	g01_sl_zdo_dalijingangzhang	Skills\Weapon\fist_hit_middle_2.wav	身体受击点			兽群外
188	npc_all_danbing_zdo	Skills\Common\ice_explode_1.wav	身体受击点	npc_all_danbing_zdo	Skills\Common\ice_explode_1.wav	身体受击点	npc_all_danbing_zdo	Skills\Common\ice_explode_1.wav	身体受击点	npc_all_danbing_zdo	Skills\Common\ice_explode_1.wav	身体受击点	npc_all_danbing_zdo	Skills\Common\ice_explode_1.wav	身体受击点			冰爆
189	npc_ren_qunwai_zdo	Skills\Wd\Wd_天马飞瀑_击中.wav	身体受击点	npc_ren_qunwai_zdo	Skills\Wd\Wd_天马飞瀑_击中.wav	身体受击点	npc_ren_qunwai_zdo	Skills\Wd\Wd_天马飞瀑_击中.wav	身体受击点	npc_ren_qunwai_zdo	Skills\Wd\Wd_天马飞瀑_击中.wav	身体受击点	npc_ren_qunwai_zdo	Skills\Wd\Wd_天马飞瀑_击中.wav	身体受击点			人群外
190	npc_shou_danwai	Skills\Common\scratch_1.wav	身体受击点	npc_shou_danwai	Skills\Common\scratch_1.wav	身体受击点	npc_shou_danwai	Skills\Common\scratch_1.wav	身体受击点	npc_shou_danwai	Skills\Common\scratch_1.wav	身体受击点	npc_shou_danwai	Skills\Common\scratch_1.wav	身体受击点			兽单外
191	npc_all_lianji_zdo	Skills\Common\explosion_1.wav	身体受击点	npc_all_lianji_zdo	Skills\Common\explosion_1.wav	身体受击点	npc_all_lianji_zdo	Skills\Common\explosion_1.wav	身体受击点	npc_all_lianji_zdo	Skills\Common\explosion_1.wav	身体受击点	npc_all_lianji_zdo	Skills\Common\explosion_1.wav	身体受击点			单内
192	npc_all_gongsheng	Skills\Common\whoosh_1.wav	脚下光圈点	npc_all_gongsheng	Skills\Common\whoosh_1.wav	脚下光圈点	npc_all_gongsheng	Skills\Common\whoosh_1.wav	脚下光圈点	npc_all_gongsheng	Skills\Common\whoosh_1.wav	脚下光圈点	npc_all_gongsheng	Skills\Common\whoosh_1.wav	脚下光圈点			共生
193	npc_all_kongzhi_zdo	Skills\Common\fog.wav	身体受击点	npc_all_kongzhi_zdo	Skills\Common\fog.wav	身体受击点	npc_all_kongzhi_zdo	Skills\Common\fog.wav	身体受击点	npc_all_kongzhi_zdo	Skills\Common\fog.wav	身体受击点	npc_all_kongzhi_zdo	Skills\Common\fog.wav	身体受击点			控制
194	秘籍_gb_zdo	Skills\Common\explosion_3.wav	身体受击点	秘籍_gb_zdo	Skills\Common\explosion_3.wav	身体受击点	秘籍_gb_zdo	Skills\Common\explosion_3.wav	身体受击点	秘籍_gb_zdo	Skills\Common\explosion_3.wav	身体受击点	秘籍_gb_zdo	Skills\Common\explosion_3.wav	身体受击点			天下无狗
195	秘籍_dl_zdo	Skills\Common\explosion_3.wav	身体受击点	秘籍_dl_zdo	Skills\Common\explosion_3.wav	身体受击点	秘籍_dl_zdo	Skills\Common\explosion_3.wav	身体受击点	秘籍_dl_zdo	Skills\Common\explosion_3.wav	身体受击点	秘籍_dl_zdo	Skills\Common\explosion_3.wav	身体受击点			少泽剑
196	g01_sl_zdo_fuhuquan	Skills\Common\explosion_3.wav	身体受击点	g01_sl_zdo_fuhuquan	Skills\Common\explosion_3.wav	身体受击点	g01_sl_zdo_fuhuquan	Skills\Common\explosion_3.wav	身体受击点	g01_sl_zdo_fuhuquan	Skills\Common\explosion_3.wav	身体受击点	g01_sl_zdo_fuhuquan	Skills\Common\explosion_3.wav	身体受击点			宠外
197	npc_all_danbing_zdo_01	Skills\Common\ice_explode_1.wav	身体受击点	npc_all_danbing_zdo_01	Skills\Common\ice_explode_1.wav	身体受击点	npc_all_danbing_zdo_01	Skills\Common\ice_explode_1.wav	身体受击点	npc_all_danbing_zdo_01	Skills\Common\ice_explode_1.wav	身体受击点	npc_all_danbing_zdo_01	Skills\Common\ice_explode_1.wav	身体受击点			移花接木
198	yanhuo34	yanhuo02.wav	前置特效点	yanhuo34	yanhuo02.wav	前置特效点	yanhuo34	yanhuo02.wav	前置特效点	yanhuo34	yanhuo02.wav	前置特效点	yanhuo34	yanhuo02.wav	前置特效点			快乐游戏
199	yanhuo35	yanhuo02.wav	前置特效点	yanhuo35	yanhuo02.wav	前置特效点	yanhuo35	yanhuo02.wav	前置特效点	yanhuo35	yanhuo02.wav	前置特效点	yanhuo35	yanhuo02.wav	前置特效点			经典武侠
200	yanhuo_庆	yanhuo02.wav	前置特效点	yanhuo_庆	yanhuo02.wav	前置特效点	yanhuo_庆	yanhuo02.wav	前置特效点	yanhuo_庆	yanhuo02.wav	前置特效点	yanhuo_庆	yanhuo02.wav	前置特效点			庆祝公测
201	yanhuo_乔	yanhuo02.wav	前置特效点	yanhuo_乔	yanhuo02.wav	前置特效点	yanhuo_乔	yanhuo02.wav	前置特效点	yanhuo_乔	yanhuo02.wav	前置特效点	yanhuo_乔	yanhuo02.wav	前置特效点			乔峰归来
202	g01_em_buff1111	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1111	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1111	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1111	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1111	interface\sound_shengji.wav	脚下光圈点			升级特效蓝绿转红
203	g01_em_buff1112	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1112	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1112	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1112	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1112	interface\sound_shengji.wav	脚下光圈点			升级特效黄转紫
204	g01_em_buff1113	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1113	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1113	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1113	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1113	interface\sound_shengji.wav	脚下光圈点			升级特效紫红转蓝绿
205	g01_em_buff1114	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1114	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1114	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1114	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1114	interface\sound_shengji.wav	脚下光圈点			升级特效黄转绿
206	g01_em_buff1115	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1115	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1115	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1115	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1115	interface\sound_shengji.wav	脚下光圈点			升级特效紫转黄
207	g01_em_buff1116	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1116	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1116	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1116	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1116	interface\sound_shengji.wav	脚下光圈点			升级特效蓝转橙
208																		999朵玫瑰特效
209	all_bj0004_01	Skills\Weapon\longsword_hit_heavy_1.wav	身体受击点	all_bj0004_01	Skills\Weapon\longsword_hit_heavy_1.wav	身体受击点	all_bj0004_01	Skills\Weapon\longsword_hit_heavy_1.wav	身体受击点	all_bj0004_01	Skills\Weapon\longsword_hit_heavy_1.wav	身体受击点	all_bj0004_01	Skills\Weapon\longsword_hit_heavy_1.wav	身体受击点			神器伤害特效
220	g01_dl_中冲剑_zdo	Skills\Common\explosion_3.wav	身体受击点	g01_dl_中冲剑_zdo	Skills\Common\explosion_3.wav	身体受击点	g01_dl_中冲剑_zdo	Skills\Common\explosion_3.wav	身体受击点	g01_dl_中冲剑_zdo	Skills\Common\explosion_3.wav	身体受击点	g01_dl_中冲剑_zdo	Skills\Common\explosion_3.wav	身体受击点			中冲剑受击
221	宝箱被打开	interface\sound_shengji.wav	脚下光圈点	宝箱被打开	interface\sound_shengji.wav	脚下光圈点	宝箱被打开	interface\sound_shengji.wav	脚下光圈点	宝箱被打开	interface\sound_shengji.wav	脚下光圈点	宝箱被打开	interface\sound_shengji.wav	脚下光圈点			宝箱被打开
222	g01_wd_zdo_shenmenshisanjian		身体受击点	g01_wd_zdo_shenmenshisanjian		身体受击点	g01_wd_zdo_shenmenshisanjian		身体受击点	g01_wd_zdo_shenmenshisanjian		身体受击点	g01_wd_zdo_shenmenshisanjian		身体受击点			落马
223	npc_雪人变大		身体受击点	npc_雪人变大		身体受击点	npc_雪人变大		身体受击点	npc_雪人变大		身体受击点	npc_雪人变大		身体受击点			雪人放大
224	g01_暴击获得经验		脚下光圈点	g01_暴击获得经验		脚下光圈点	g01_暴击获得经验		脚下光圈点	g01_暴击获得经验		脚下光圈点	g01_暴击获得经验		脚下光圈点			暴击获得经验
225	g01_普通挂机获得经验		脚下光圈点	g01_普通挂机获得经验		脚下光圈点	g01_普通挂机获得经验		脚下光圈点	g01_普通挂机获得经验		脚下光圈点	g01_普通挂机获得经验		脚下光圈点			普通挂机获得经验
226	h_鞭炮_04	ambience\society\bianpao_single.wav	头顶状态点	h_鞭炮_04	ambience\society\bianpao_single.wav	头顶状态点	h_鞭炮_04	ambience\society\bianpao_single.wav	头顶状态点	h_鞭炮_04	ambience\society\bianpao_single.wav	头顶状态点	h_鞭炮_04	ambience\society\bianpao_single.wav	头顶状态点			一枚鞭炮燃放
227	h_鞭炮_05	ambience\society\bianpao_several.wav	头顶状态点	h_鞭炮_05	ambience\society\bianpao_several.wav	头顶状态点	h_鞭炮_05	ambience\society\bianpao_several.wav	头顶状态点	h_鞭炮_05	ambience\society\bianpao_several.wav	头顶状态点	h_鞭炮_05	ambience\society\bianpao_several.wav	头顶状态点			一串鞭炮燃放
228	g01_dl_zdo_yiyangzhi		身体受击点	g01_dl_zdo_yiyangzhi		身体受击点	g01_dl_zdo_yiyangzhi		身体受击点	g01_dl_zdo_yiyangzhi		身体受击点	g01_dl_zdo_yiyangzhi		身体受击点			犯兽
229	m01_gb_神龙闪现_zod		身体受击点	m01_gb_神龙闪现_zod		身体受击点	m01_gb_神龙闪现_zod		身体受击点	m01_gb_神龙闪现_zod		身体受击点	m01_gb_神龙闪现_zod		身体受击点			棒打狗头
230																		剑舞(紫)
231																		剑舞(红)
232																		剑舞(白)
233																		剑舞(黄)
234																		剑舞(蓝)
235																		剑舞(绿)
236	kvk_zc_青龙战车_buff		脚下光圈点	kvk_zc_青龙战车_buff		脚下光圈点	kvk_zc_青龙战车_buff		脚下光圈点	kvk_zc_青龙战车_buff		脚下光圈点	kvk_zc_青龙战车_buff		脚下光圈点			
237	kvk_zc_白虎战车_buff		脚下光圈点	kvk_zc_白虎战车_buff		脚下光圈点	kvk_zc_白虎战车_buff		脚下光圈点	kvk_zc_白虎战车_buff		脚下光圈点	kvk_zc_白虎战车_buff		脚下光圈点			
238	kvk_zc_朱雀战车_buff		脚下光圈点	kvk_zc_朱雀战车_buff		脚下光圈点	kvk_zc_朱雀战车_buff		脚下光圈点	kvk_zc_朱雀战车_buff		脚下光圈点	kvk_zc_朱雀战车_buff		脚下光圈点			
239	kvk_zc_玄武战车_buff		脚下光圈点	kvk_zc_玄武战车_buff		脚下光圈点	kvk_zc_玄武战车_buff		脚下光圈点	kvk_zc_玄武战车_buff		脚下光圈点	kvk_zc_玄武战车_buff		脚下光圈点			
240	暗器升级	interface\sound_shengji.wav	脚下光圈点	暗器升级	interface\sound_shengji.wav	脚下光圈点	暗器升级	interface\sound_shengji.wav	脚下光圈点	暗器升级	interface\sound_shengji.wav	脚下光圈点	暗器升级	interface\sound_shengji.wav	脚下光圈点			
241	g01_xy_定海神针_zdo	Skills\Weapon\sword_hit_light_5.wav	身体受击点	g01_xy_定海神针_zdo	Skills\Weapon\sword_hit_light_5.wav	身体受击点	g01_xy_定海神针_zdo	Skills\Weapon\sword_hit_light_5.wav	身体受击点	g01_xy_定海神针_zdo	Skills\Weapon\sword_hit_light_5.wav	身体受击点	g01_xy_定海神针_zdo	Skills\Weapon\sword_hit_light_5.wav	身体受击点			定海神针击中
